EF30_25T_A_sample_4
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 10kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,0.018590,-0.000000,-0.009468,0.000000,-0.009468
0.100000,0.007140,0.034750,-0.000238,-0.017698,-0.000238,-0.017694
0.200000,0.027580,0.079360,-0.000919,-0.040418,-0.000920,-0.040381
0.300000,0.046220,0.107700,-0.001541,-0.054851,-0.001542,-0.054767
0.400000,0.063320,0.162100,-0.002111,-0.082557,-0.002113,-0.082383
0.500000,0.080020,0.173090,-0.002667,-0.088154,-0.002671,-0.087919
0.600000,0.096630,0.194980,-0.003221,-0.099302,-0.003226,-0.098983
0.700000,0.113370,0.260040,-0.003779,-0.132437,-0.003786,-0.131937
0.800000,0.130020,0.276880,-0.004334,-0.141014,-0.004343,-0.140403
0.900000,0.146720,0.339900,-0.004891,-0.173110,-0.004903,-0.172263
1.000000,0.163330,0.406830,-0.005444,-0.207197,-0.005459,-0.206069
1.100000,0.179990,0.434710,-0.006000,-0.221396,-0.006018,-0.220068
1.200000,0.196680,0.472610,-0.006556,-0.240698,-0.006578,-0.239120
1.300000,0.213320,0.506520,-0.007111,-0.257969,-0.007136,-0.256134
1.400000,0.229990,0.550930,-0.007666,-0.280586,-0.007696,-0.278435
1.500000,0.246570,0.541210,-0.008219,-0.275636,-0.008253,-0.273371
1.600000,0.263290,0.606740,-0.008776,-0.309010,-0.008815,-0.306298
1.700000,0.280030,0.623320,-0.009334,-0.317454,-0.009378,-0.314491
1.800000,0.296660,0.697240,-0.009889,-0.355101,-0.009938,-0.351590
1.900000,0.313210,0.729760,-0.010440,-0.371664,-0.010495,-0.367783
2.000000,0.329900,0.796630,-0.010997,-0.405720,-0.011058,-0.401259
2.100000,0.346590,0.809640,-0.011553,-0.412346,-0.011620,-0.407582
2.200000,0.363310,0.877240,-0.012110,-0.446775,-0.012184,-0.441364
2.300000,0.379960,0.936240,-0.012665,-0.476823,-0.012746,-0.470784
2.400000,0.396590,1.000680,-0.013220,-0.509642,-0.013308,-0.502905
2.500000,0.413280,0.985420,-0.013776,-0.501870,-0.013872,-0.494957
2.600000,0.429990,1.025010,-0.014333,-0.522033,-0.014437,-0.514551
2.700000,0.446650,1.068950,-0.014888,-0.544412,-0.015000,-0.536306
2.800000,0.463260,1.155140,-0.015442,-0.588308,-0.015562,-0.579223
2.900000,0.479950,1.165480,-0.015998,-0.593574,-0.016128,-0.584078
3.000000,0.496630,1.231700,-0.016554,-0.627300,-0.016693,-0.616915
3.100000,0.513300,1.263320,-0.017110,-0.643404,-0.017258,-0.632395
3.200000,0.529880,1.323770,-0.017663,-0.674191,-0.017821,-0.662283
3.300000,0.546520,1.370120,-0.018217,-0.697796,-0.018385,-0.685084
3.400000,0.563230,1.473730,-0.018774,-0.750565,-0.018953,-0.736473
3.500000,0.579870,1.486200,-0.019329,-0.756915,-0.019518,-0.742285
3.600000,0.596520,1.521840,-0.019884,-0.775067,-0.020084,-0.759655
3.700000,0.613190,1.560010,-0.020440,-0.794507,-0.020651,-0.778267
3.800000,0.629930,1.612910,-0.020998,-0.821448,-0.021221,-0.804200
3.900000,0.646650,1.669610,-0.021555,-0.850325,-0.021791,-0.831997
4.000000,0.663320,1.707050,-0.022111,-0.869393,-0.022359,-0.850171
4.100000,0.679910,1.800950,-0.022664,-0.917216,-0.022924,-0.896429
4.200000,0.696590,1.847820,-0.023220,-0.941087,-0.023493,-0.919235
4.300000,0.713310,1.859950,-0.023777,-0.947265,-0.024064,-0.924742
4.400000,0.730000,1.945940,-0.024333,-0.991059,-0.024634,-0.966943
4.500000,0.746610,2.002470,-0.024887,-1.019850,-0.025202,-0.994469
4.600000,0.763250,2.062410,-0.025442,-1.050377,-0.025771,-1.023653
4.700000,0.779930,2.107330,-0.025998,-1.073254,-0.026342,-1.045352
4.800000,0.796570,2.157650,-0.026552,-1.098882,-0.026911,-1.069704
4.900000,0.813210,2.203320,-0.027107,-1.122142,-0.027481,-1.091724
5.000000,0.829850,2.289820,-0.027662,-1.166196,-0.028051,-1.133937
5.100000,0.846560,2.304790,-0.028219,-1.173820,-0.028624,-1.140696
5.200000,0.863260,2.414200,-0.028775,-1.229542,-0.029197,-1.194161
5.300000,0.879940,2.457620,-0.029331,-1.251656,-0.029770,-1.214943
5.400000,0.896540,2.493110,-0.029885,-1.269730,-0.030340,-1.231785
5.500000,0.913210,2.535620,-0.030440,-1.291381,-0.030913,-1.252071
5.600000,0.929960,2.620610,-0.030999,-1.334666,-0.031489,-1.293293
5.700000,0.946640,2.691360,-0.031555,-1.370698,-0.032063,-1.327446
5.800000,0.963250,2.712460,-0.032108,-1.381445,-0.032635,-1.337089
5.900000,0.979920,2.775940,-0.032664,-1.413775,-0.033209,-1.367595
6.000000,0.996620,2.815110,-0.033221,-1.433724,-0.033785,-1.386094
6.100000,1.013310,2.907170,-0.033777,-1.480610,-0.034361,-1.430599
6.200000,1.029970,2.969000,-0.034332,-1.512099,-0.034936,-1.460185
6.300000,1.046590,3.000100,-0.034886,-1.527938,-0.035509,-1.474634
6.400000,1.063290,3.069430,-0.035443,-1.563248,-0.036086,-1.507842
6.500000,1.079940,3.156980,-0.035998,-1.607837,-0.036662,-1.549958
6.600000,1.096620,3.175410,-0.036554,-1.617223,-0.037239,-1.558107
6.700000,1.113210,3.194380,-0.037107,-1.626884,-0.037813,-1.566516
6.800000,1.129840,3.297580,-0.037661,-1.679444,-0.038389,-1.616194
6.900000,1.146550,3.323220,-0.038218,-1.692502,-0.038968,-1.627817
7.000000,1.163250,3.443370,-0.038775,-1.753694,-0.039547,-1.685694
7.100000,1.179910,3.497400,-0.039330,-1.781211,-0.040125,-1.711156
7.200000,1.196520,3.504030,-0.039884,-1.784588,-0.040701,-1.713411
7.300000,1.213320,3.583080,-0.040444,-1.824848,-0.041285,-1.751044
7.400000,1.229980,3.625730,-0.040999,-1.846569,-0.041864,-1.770861
7.500000,1.246580,3.717130,-0.041553,-1.893119,-0.042441,-1.814455
7.600000,1.263250,3.754060,-0.042108,-1.911927,-0.043021,-1.831419
7.700000,1.279920,3.820840,-0.042664,-1.945938,-0.043601,-1.862916
7.800000,1.296600,3.838830,-0.043220,-1.955100,-0.044182,-1.870601
7.900000,1.313280,3.931400,-0.043776,-2.002246,-0.044763,-1.914595
8.000000,1.329960,3.999750,-0.044332,-2.037056,-0.045345,-1.946749
8.100000,1.346610,4.068410,-0.044887,-2.072024,-0.045926,-1.979017
8.200000,1.363300,4.075130,-0.045443,-2.075447,-0.046508,-1.981131
8.300000,1.379950,4.187370,-0.045998,-2.132610,-0.047090,-2.034514
8.400000,1.396570,4.202230,-0.046552,-2.140178,-0.047671,-2.040548
8.500000,1.413210,4.282450,-0.047107,-2.181034,-0.048253,-2.078292
8.600000,1.429930,4.351660,-0.047664,-2.216282,-0.048838,-2.110645
8.700000,1.446620,4.416100,-0.048221,-2.249101,-0.049422,-2.140648
8.800000,1.463220,4.443420,-0.048774,-2.263015,-0.050004,-2.152639
8.900000,1.479880,4.536000,-0.049329,-2.310166,-0.050588,-2.196207
9.000000,1.496530,4.573130,-0.049884,-2.329076,-0.051172,-2.212892
9.100000,1.513250,4.622250,-0.050442,-2.354093,-0.051758,-2.235348
9.200000,1.529960,4.744340,-0.050999,-2.416273,-0.052345,-2.293046
9.300000,1.546590,4.749100,-0.051553,-2.418697,-0.052929,-2.294006
9.400000,1.563260,4.822390,-0.052109,-2.456023,-0.053515,-2.328043
9.500000,1.579930,4.862620,-0.052664,-2.476512,-0.054102,-2.346088
9.600000,1.596670,4.895550,-0.053222,-2.493283,-0.054691,-2.360585
9.700000,1.613280,5.003130,-0.053776,-2.548073,-0.055276,-2.411048
9.800000,1.629890,5.027350,-0.054330,-2.560408,-0.055861,-2.421302
9.900000,1.646600,5.133140,-0.054887,-2.614287,-0.056450,-2.470797
10.000000,1.663280,5.181900,-0.055443,-2.639120,-0.057039,-2.492800
10.100000,1.679910,5.214070,-0.055997,-2.655504,-0.057626,-2.506804
10.200000,1.696550,5.324800,-0.056552,-2.711898,-0.058214,-2.558536
10.300000,1.713260,5.325800,-0.057109,-2.712408,-0.058804,-2.557506
10.400000,1.729890,5.378050,-0.057663,-2.739018,-0.059392,-2.581078
10.500000,1.746590,5.450650,-0.058220,-2.775993,-0.059983,-2.614376
10.600000,1.763230,5.485900,-0.058774,-2.793946,-0.060572,-2.629734
10.700000,1.779900,5.630500,-0.059330,-2.867590,-0.061163,-2.697456
10.800000,1.796610,5.645400,-0.059887,-2.875179,-0.061755,-2.702993
10.900000,1.813340,5.668640,-0.060445,-2.887015,-0.062349,-2.712510
11.000000,1.829920,5.760660,-0.060997,-2.933880,-0.062937,-2.754921
11.100000,1.846510,5.854720,-0.061550,-2.981784,-0.063526,-2.798255
11.200000,1.863220,5.906360,-0.062107,-3.008084,-0.064120,-2.821260
11.300000,1.879940,5.910000,-0.062665,-3.009938,-0.064714,-2.821322
11.400000,1.896580,6.026050,-0.063219,-3.069042,-0.065306,-2.875019
11.500000,1.913190,6.081020,-0.063773,-3.097038,-0.065897,-2.899531
11.600000,1.929900,6.114910,-0.064330,-3.114298,-0.066492,-2.913955
11.700000,1.946540,6.183680,-0.064885,-3.149322,-0.067085,-2.944980
11.800000,1.963250,6.225930,-0.065442,-3.170840,-0.067681,-2.963335
11.900000,1.979900,6.277680,-0.065997,-3.197196,-0.068275,-2.986192
12.000000,1.996560,6.339790,-0.066552,-3.228829,-0.068870,-3.013944
12.100000,2.013240,6.391760,-0.067108,-3.255297,-0.069466,-3.036840
12.200000,2.029920,6.468690,-0.067664,-3.294477,-0.070062,-3.071559
12.300000,2.046580,6.539660,-0.068219,-3.330621,-0.070658,-3.103409
12.400000,2.063200,6.612200,-0.068773,-3.367566,-0.071253,-3.135967
12.500000,2.079910,6.631630,-0.069330,-3.377461,-0.071851,-3.143301
12.600000,2.096610,6.723160,-0.069887,-3.424077,-0.072449,-3.184779
