EF50_25T_B_sample_2
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 10kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,-0.014990,-0.000000,0.007634,0.000000,0.007634
0.100000,0.007310,0.052900,-0.000244,-0.026942,-0.000244,-0.026935
0.200000,0.027820,0.205770,-0.000927,-0.104798,-0.000928,-0.104701
0.300000,0.046350,0.275890,-0.001545,-0.140510,-0.001546,-0.140293
0.400000,0.063270,0.416180,-0.002109,-0.211959,-0.002111,-0.211512
0.500000,0.079920,0.489020,-0.002664,-0.249056,-0.002668,-0.248392
0.600000,0.096670,0.563960,-0.003222,-0.287222,-0.003228,-0.286297
0.700000,0.113330,0.683430,-0.003778,-0.348068,-0.003785,-0.346753
0.800000,0.130030,0.759800,-0.004334,-0.386963,-0.004344,-0.385286
0.900000,0.146650,0.905260,-0.004888,-0.461045,-0.004900,-0.458791
1.000000,0.163310,0.995680,-0.005444,-0.507096,-0.005459,-0.504335
1.100000,0.180000,1.073790,-0.006000,-0.546877,-0.006018,-0.543595
1.200000,0.196640,1.171220,-0.006555,-0.596497,-0.006576,-0.592588
1.300000,0.213310,1.282840,-0.007110,-0.653345,-0.007136,-0.648700
1.400000,0.229910,1.405880,-0.007664,-0.716009,-0.007693,-0.710522
1.500000,0.246630,1.477190,-0.008221,-0.752327,-0.008255,-0.746142
1.600000,0.263370,1.584300,-0.008779,-0.806877,-0.008818,-0.799794
1.700000,0.279990,1.668600,-0.009333,-0.849811,-0.009377,-0.841880
1.800000,0.296560,1.762840,-0.009885,-0.897807,-0.009935,-0.888932
1.900000,0.313250,1.827640,-0.010442,-0.930809,-0.010497,-0.921090
2.000000,0.329940,1.921250,-0.010998,-0.978485,-0.011059,-0.967723
2.100000,0.346650,2.032500,-0.011555,-1.035144,-0.011622,-1.023183
2.200000,0.363290,2.154800,-0.012110,-1.097431,-0.012184,-1.084141
2.300000,0.379940,2.279400,-0.012665,-1.160889,-0.012746,-1.146187
2.400000,0.396630,2.313240,-0.013221,-1.178123,-0.013309,-1.162547
2.500000,0.413290,2.426010,-0.013776,-1.235557,-0.013872,-1.218535
2.600000,0.429980,2.520070,-0.014333,-1.283461,-0.014436,-1.265066
2.700000,0.446590,2.637190,-0.014886,-1.343110,-0.014998,-1.323116
2.800000,0.463250,2.737210,-0.015442,-1.394050,-0.015562,-1.372523
2.900000,0.479920,2.819220,-0.015997,-1.435817,-0.016127,-1.412848
3.000000,0.496600,2.925330,-0.016553,-1.489858,-0.016692,-1.465196
3.100000,0.513190,3.037550,-0.017106,-1.547012,-0.017254,-1.520548
3.200000,0.529880,3.110550,-0.017663,-1.584190,-0.017821,-1.556209
3.300000,0.546570,3.213190,-0.018219,-1.636464,-0.018387,-1.606649
3.400000,0.563210,3.285830,-0.018774,-1.673459,-0.018952,-1.642043
3.500000,0.579870,3.410200,-0.019329,-1.736801,-0.019518,-1.703230
3.600000,0.596550,3.531500,-0.019885,-1.798578,-0.020085,-1.762813
3.700000,0.613270,3.597250,-0.020442,-1.832064,-0.020654,-1.794613
3.800000,0.629970,3.749120,-0.020999,-1.909411,-0.021223,-1.869315
3.900000,0.646640,3.818220,-0.021555,-1.944603,-0.021790,-1.902688
4.000000,0.663230,3.910750,-0.022108,-1.991729,-0.022356,-1.947696
4.100000,0.679870,4.004540,-0.022662,-2.039495,-0.022923,-1.993276
4.200000,0.696600,4.114690,-0.023220,-2.095594,-0.023494,-2.046935
4.300000,0.713310,4.223750,-0.023777,-2.151138,-0.024064,-2.099991
4.400000,0.729970,4.359280,-0.024332,-2.220163,-0.024633,-2.166141
4.500000,0.746590,4.391480,-0.024886,-2.236562,-0.025201,-2.180903
4.600000,0.763300,4.535200,-0.025443,-2.309758,-0.025773,-2.250990
4.700000,0.779950,4.635710,-0.025998,-2.360948,-0.026342,-2.299567
4.800000,0.796590,4.680520,-0.026553,-2.383769,-0.026912,-2.320473
4.900000,0.813210,4.825170,-0.027107,-2.457439,-0.027481,-2.390825
5.000000,0.829900,4.906320,-0.027663,-2.498768,-0.028053,-2.429644
5.100000,0.846590,5.047220,-0.028220,-2.570528,-0.028625,-2.497989
5.200000,0.863260,5.086920,-0.028775,-2.590747,-0.029197,-2.516197
5.300000,0.879870,5.229090,-0.029329,-2.663154,-0.029768,-2.585046
5.400000,0.896530,5.300430,-0.029884,-2.699487,-0.030340,-2.618814
5.500000,0.913280,5.345610,-0.030443,-2.722497,-0.030916,-2.639617
5.600000,0.929960,5.542530,-0.030999,-2.822787,-0.031489,-2.735285
5.700000,0.946570,5.629430,-0.031552,-2.867045,-0.032061,-2.776583
5.800000,0.963240,5.714730,-0.032108,-2.910488,-0.032635,-2.817038
5.900000,0.979950,5.835400,-0.032665,-2.971945,-0.033210,-2.874866
6.000000,0.996630,5.873160,-0.033221,-2.991176,-0.033785,-2.891806
6.100000,1.013280,6.029460,-0.033776,-3.070779,-0.034360,-2.967060
6.200000,1.029920,6.077600,-0.034331,-3.095296,-0.034934,-2.989033
6.300000,1.046630,6.218700,-0.034888,-3.167158,-0.035511,-3.056663
6.400000,1.063280,6.324470,-0.035443,-3.221026,-0.036086,-3.106864
6.500000,1.079960,6.425270,-0.035999,-3.272363,-0.036663,-3.154562
6.600000,1.096550,6.488340,-0.036552,-3.304484,-0.037236,-3.183700
6.700000,1.113190,6.588490,-0.037106,-3.355490,-0.037812,-3.230980
6.800000,1.129890,6.713260,-0.037663,-3.419035,-0.038391,-3.290264
6.900000,1.146570,6.813860,-0.038219,-3.470270,-0.038969,-3.337640
7.000000,1.163250,6.908710,-0.038775,-3.518577,-0.039547,-3.382144
7.100000,1.179850,6.994790,-0.039328,-3.562417,-0.040123,-3.422313
7.200000,1.196620,7.085220,-0.039887,-3.608473,-0.040705,-3.464541
7.300000,1.213320,7.222270,-0.040444,-3.678272,-0.041285,-3.529508
7.400000,1.229910,7.305800,-0.040997,-3.720813,-0.041861,-3.568271
7.500000,1.246580,7.419330,-0.041553,-3.778634,-0.042441,-3.621621
7.600000,1.263250,7.494210,-0.042108,-3.816770,-0.043021,-3.656052
7.700000,1.279940,7.630210,-0.042665,-3.886034,-0.043602,-3.720238
7.800000,1.296640,7.678390,-0.043221,-3.910572,-0.044183,-3.741552
7.900000,1.313300,7.760120,-0.043777,-3.952197,-0.044764,-3.779183
8.000000,1.329950,7.886470,-0.044332,-4.016546,-0.045344,-3.838486
8.100000,1.346620,7.959460,-0.044887,-4.053720,-0.045926,-3.871759
8.200000,1.363290,8.057010,-0.045443,-4.103401,-0.046508,-3.916931
8.300000,1.379880,8.155140,-0.045996,-4.153379,-0.047087,-3.962340
8.400000,1.396510,8.284840,-0.046550,-4.219434,-0.047669,-4.023018
8.500000,1.413250,8.361340,-0.047108,-4.258395,-0.048254,-4.057790
8.600000,1.429940,8.499430,-0.047665,-4.328724,-0.048838,-4.122397
8.700000,1.446560,8.570260,-0.048219,-4.364798,-0.049420,-4.154333
8.800000,1.463220,8.631150,-0.048774,-4.395809,-0.050004,-4.181407
8.900000,1.479880,8.771560,-0.049329,-4.467319,-0.050588,-4.246949
9.000000,1.496590,8.836450,-0.049886,-4.500367,-0.051174,-4.275860
9.100000,1.513270,8.926770,-0.050442,-4.546367,-0.051759,-4.317037
9.200000,1.529910,9.029710,-0.050997,-4.598794,-0.052343,-4.364269
9.300000,1.546580,9.150310,-0.051553,-4.660215,-0.052929,-4.419968
9.400000,1.563270,9.243810,-0.052109,-4.707834,-0.053516,-4.462513
9.500000,1.579990,9.342150,-0.052666,-4.757918,-0.054104,-4.507336
9.600000,1.596610,9.449910,-0.053220,-4.812800,-0.054689,-4.556661
9.700000,1.613240,9.496790,-0.053775,-4.836675,-0.055275,-4.576585
9.800000,1.629930,9.631250,-0.054331,-4.905155,-0.055863,-4.638653
9.900000,1.646620,9.728510,-0.054887,-4.954689,-0.056451,-4.682740
10.000000,1.663260,9.799600,-0.055442,-4.990895,-0.057038,-4.714190
10.100000,1.679890,9.891100,-0.055996,-5.037496,-0.057625,-4.755415
10.200000,1.696600,9.988650,-0.056553,-5.087178,-0.058215,-4.799481
10.300000,1.713240,10.092680,-0.057108,-5.140160,-0.058804,-4.846615
10.400000,1.729920,10.148210,-0.057664,-5.168441,-0.059393,-4.870408
10.500000,1.746570,10.297590,-0.058219,-5.244520,-0.059983,-4.939189
10.600000,1.763250,10.357110,-0.058775,-5.274833,-0.060573,-4.964805
10.700000,1.779950,10.484900,-0.059332,-5.339916,-0.061165,-5.023090
