EF50_0T_A_sample_1
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 10kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,0.008540,-0.000000,-0.004349,0.000000,-0.004349
0.100000,0.006680,0.016100,-0.000223,-0.008200,-0.000223,-0.008198
0.200000,0.026940,0.048800,-0.000898,-0.024854,-0.000898,-0.024831
0.300000,0.046090,0.048230,-0.001536,-0.024563,-0.001538,-0.024526
0.400000,0.063290,0.129890,-0.002110,-0.066152,-0.002112,-0.066013
0.500000,0.080050,0.161990,-0.002668,-0.082501,-0.002672,-0.082281
0.600000,0.096720,0.221980,-0.003224,-0.113053,-0.003229,-0.112689
0.700000,0.113340,0.241080,-0.003778,-0.122781,-0.003785,-0.122317
0.800000,0.130040,0.304070,-0.004335,-0.154862,-0.004344,-0.154190
0.900000,0.146720,0.385420,-0.004891,-0.196293,-0.004903,-0.195333
1.000000,0.163350,0.413480,-0.005445,-0.210584,-0.005460,-0.209437
1.100000,0.180030,0.473740,-0.006001,-0.241274,-0.006019,-0.239826
1.200000,0.196650,0.606110,-0.006555,-0.308689,-0.006577,-0.306666
1.300000,0.213370,0.659820,-0.007112,-0.336044,-0.007138,-0.333654
1.400000,0.230040,0.729090,-0.007668,-0.371322,-0.007698,-0.368475
1.500000,0.246730,0.869290,-0.008224,-0.442726,-0.008258,-0.439085
1.600000,0.263320,0.927890,-0.008777,-0.472570,-0.008816,-0.468423
1.700000,0.280000,1.074460,-0.009333,-0.547218,-0.009377,-0.542111
1.800000,0.296650,1.209900,-0.009888,-0.616197,-0.009938,-0.610104
1.900000,0.313290,1.317170,-0.010443,-0.670829,-0.010498,-0.663824
2.000000,0.329920,1.492940,-0.010997,-0.760348,-0.011058,-0.751986
2.100000,0.346610,1.635050,-0.011554,-0.832724,-0.011621,-0.823103
2.200000,0.363320,1.807150,-0.012111,-0.920374,-0.012185,-0.909228
2.300000,0.379980,2.000320,-0.012666,-1.018755,-0.012747,-1.005851
2.400000,0.396650,2.129410,-0.013222,-1.084500,-0.013310,-1.070161
2.500000,0.413260,2.340410,-0.013775,-1.191961,-0.013871,-1.175541
2.600000,0.429900,2.475460,-0.014330,-1.260741,-0.014434,-1.242675
2.700000,0.446600,2.643770,-0.014887,-1.346461,-0.014999,-1.326417
2.800000,0.463310,2.830810,-0.015444,-1.441720,-0.015564,-1.419454
2.900000,0.479890,3.028140,-0.015996,-1.542219,-0.016126,-1.517549
3.000000,0.496510,3.231300,-0.016550,-1.645688,-0.016689,-1.618451
3.100000,0.513240,3.388730,-0.017108,-1.725866,-0.017256,-1.696340
3.200000,0.529920,3.584880,-0.017664,-1.825764,-0.017822,-1.793514
3.300000,0.546570,3.799040,-0.018219,-1.934835,-0.018387,-1.899584
3.400000,0.563220,3.934880,-0.018774,-2.004018,-0.018952,-1.966394
3.500000,0.579930,4.121640,-0.019331,-2.099134,-0.019520,-2.058556
3.600000,0.596610,4.334040,-0.019887,-2.207308,-0.020087,-2.163412
3.700000,0.613270,4.555850,-0.020442,-2.320275,-0.020654,-2.272844
