EF10_100T_B_sample_1
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 1kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,0.012060,-0.000000,-0.006142,0.000000,-0.006142
0.100000,0.006650,0.018430,-0.000222,-0.009386,-0.000222,-0.009384
0.200000,0.027440,0.016930,-0.000915,-0.008622,-0.000915,-0.008614
0.300000,0.046070,0.022160,-0.001536,-0.011286,-0.001537,-0.011269
0.400000,0.063090,0.033280,-0.002103,-0.016949,-0.002105,-0.016914
0.500000,0.079830,0.035640,-0.002661,-0.018151,-0.002665,-0.018103
0.600000,0.096580,0.029670,-0.003219,-0.015111,-0.003225,-0.015062
0.700000,0.113220,0.040130,-0.003774,-0.020438,-0.003781,-0.020361
0.800000,0.129950,0.049130,-0.004332,-0.025022,-0.004341,-0.024913
0.900000,0.146650,0.054550,-0.004888,-0.027782,-0.004900,-0.027646
1.000000,0.163290,0.061120,-0.005443,-0.031128,-0.005458,-0.030959
1.100000,0.179990,0.061230,-0.006000,-0.031184,-0.006018,-0.030997
1.200000,0.196630,0.074410,-0.006554,-0.037897,-0.006576,-0.037648
1.300000,0.213220,0.075760,-0.007107,-0.038584,-0.007133,-0.038310
1.400000,0.229840,0.074260,-0.007661,-0.037820,-0.007691,-0.037531
1.500000,0.246590,0.084720,-0.008220,-0.043148,-0.008254,-0.042793
1.600000,0.263300,0.084350,-0.008777,-0.042959,-0.008815,-0.042582
1.700000,0.279990,0.083620,-0.009333,-0.042587,-0.009377,-0.042190
1.800000,0.296580,0.095940,-0.009886,-0.048862,-0.009935,-0.048379
1.900000,0.313260,0.106950,-0.010442,-0.054469,-0.010497,-0.053900
2.000000,0.329950,0.098460,-0.010998,-0.050145,-0.011059,-0.049594
2.100000,0.346640,0.114970,-0.011555,-0.058554,-0.011622,-0.057877
2.200000,0.363270,0.119620,-0.012109,-0.060922,-0.012183,-0.060184
2.300000,0.379900,0.122560,-0.012663,-0.062419,-0.012744,-0.061629
2.400000,0.396590,0.128940,-0.013220,-0.065669,-0.013308,-0.064800
2.500000,0.413250,0.131240,-0.013775,-0.066840,-0.013871,-0.065919
2.600000,0.429930,0.140550,-0.014331,-0.071582,-0.014435,-0.070556
2.700000,0.446550,0.147220,-0.014885,-0.074979,-0.014997,-0.073862
2.800000,0.463250,0.153210,-0.015442,-0.078029,-0.015562,-0.076824
2.900000,0.479960,0.158310,-0.015999,-0.080627,-0.016128,-0.079337
3.000000,0.496620,0.167790,-0.016554,-0.085455,-0.016693,-0.084040
3.100000,0.513240,0.174860,-0.017108,-0.089055,-0.017256,-0.087532
3.200000,0.529920,0.174840,-0.017664,-0.089045,-0.017822,-0.087472
3.300000,0.546650,0.184760,-0.018222,-0.094097,-0.018390,-0.092383
3.400000,0.563310,0.195620,-0.018777,-0.099628,-0.018956,-0.097758
3.500000,0.579890,0.200470,-0.019330,-0.102099,-0.019519,-0.100125
3.600000,0.596540,0.214760,-0.019885,-0.109376,-0.020085,-0.107201
3.700000,0.613230,0.222620,-0.020441,-0.113379,-0.020653,-0.111062
3.800000,0.629910,0.226640,-0.020997,-0.115427,-0.021221,-0.113003
3.900000,0.646570,0.234680,-0.021552,-0.119522,-0.021788,-0.116946
4.000000,0.663200,0.241440,-0.022107,-0.122964,-0.022355,-0.120246
4.100000,0.679900,0.242090,-0.022663,-0.123295,-0.022924,-0.120501
4.200000,0.696610,0.249990,-0.023220,-0.127319,-0.023494,-0.124362
4.300000,0.713290,0.260940,-0.023776,-0.132896,-0.024064,-0.129736
4.400000,0.729910,0.265970,-0.024330,-0.135457,-0.024631,-0.132162
4.500000,0.746570,0.270700,-0.024886,-0.137866,-0.025201,-0.134435
4.600000,0.763250,0.283100,-0.025442,-0.144182,-0.025771,-0.140513
4.700000,0.779900,0.292980,-0.025997,-0.149213,-0.026341,-0.145334
4.800000,0.796540,0.300140,-0.026551,-0.152860,-0.026910,-0.148801
4.900000,0.813190,0.300100,-0.027106,-0.152840,-0.027480,-0.148697
5.000000,0.829870,0.307260,-0.027662,-0.156486,-0.028052,-0.152157
5.100000,0.846610,0.315020,-0.028220,-0.160438,-0.028626,-0.155911
5.200000,0.863240,0.320720,-0.028775,-0.163341,-0.029197,-0.158641
5.300000,0.879920,0.327470,-0.029331,-0.166779,-0.029769,-0.161887
5.400000,0.896570,0.339390,-0.029886,-0.172850,-0.030341,-0.167684
5.500000,0.913250,0.346310,-0.030442,-0.176374,-0.030915,-0.171005
5.600000,0.929940,0.352550,-0.030998,-0.179552,-0.031489,-0.173986
5.700000,0.946550,0.364320,-0.031552,-0.185547,-0.032060,-0.179692
5.800000,0.963230,0.362200,-0.032108,-0.184467,-0.032634,-0.178544
5.900000,0.979940,0.375460,-0.032665,-0.191220,-0.033210,-0.184974
6.000000,0.996590,0.383770,-0.033220,-0.195452,-0.033784,-0.188960
6.100000,1.013240,0.389590,-0.033775,-0.198417,-0.034358,-0.191715
6.200000,1.029890,0.401100,-0.034330,-0.204279,-0.034933,-0.197266
6.300000,1.046570,0.404220,-0.034886,-0.205868,-0.035509,-0.198686
6.400000,1.063280,0.409660,-0.035443,-0.208638,-0.036086,-0.201243
6.500000,1.079960,0.423970,-0.035999,-0.215926,-0.036663,-0.208153
6.600000,1.096630,0.428480,-0.036554,-0.218223,-0.037239,-0.210246
6.700000,1.113240,0.438280,-0.037108,-0.223214,-0.037814,-0.214931
6.800000,1.129960,0.442540,-0.037665,-0.225384,-0.038393,-0.216895
6.900000,1.146680,0.459630,-0.038223,-0.234088,-0.038972,-0.225140
7.000000,1.163220,0.457880,-0.038774,-0.233196,-0.039546,-0.224154
7.100000,1.179880,0.475230,-0.039329,-0.242033,-0.040124,-0.232514
7.200000,1.196570,0.473540,-0.039886,-0.241172,-0.040703,-0.231553
7.300000,1.213210,0.485040,-0.040440,-0.247029,-0.041281,-0.237039
7.400000,1.229830,0.491070,-0.040994,-0.250100,-0.041858,-0.239847
7.500000,1.246560,0.499070,-0.041552,-0.254174,-0.042440,-0.243613
7.600000,1.263270,0.508220,-0.042109,-0.258834,-0.043021,-0.247935
7.700000,1.279960,0.511470,-0.042665,-0.260490,-0.043602,-0.249376
7.800000,1.296610,0.520040,-0.043220,-0.264854,-0.044182,-0.253407
7.900000,1.313280,0.529790,-0.043776,-0.269820,-0.044763,-0.258008
8.000000,1.329940,0.531340,-0.044331,-0.270609,-0.045344,-0.258613
8.100000,1.346610,0.541770,-0.044887,-0.275921,-0.045926,-0.263536
8.200000,1.363290,0.550770,-0.045443,-0.280505,-0.046508,-0.267758
