EF10_100T_A_sample_3
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 1kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,-0.001810,-0.000000,0.000922,0.000000,0.000922
0.100000,0.006030,0.021040,-0.000201,-0.010716,-0.000201,-0.010713
0.200000,0.026440,0.012510,-0.000881,-0.006371,-0.000882,-0.006366
0.300000,0.046100,0.026770,-0.001537,-0.013634,-0.001538,-0.013613
0.400000,0.063230,0.031970,-0.002108,-0.016282,-0.002110,-0.016248
0.500000,0.079950,0.043440,-0.002665,-0.022124,-0.002669,-0.022065
0.600000,0.096700,0.046910,-0.003223,-0.023891,-0.003229,-0.023814
0.700000,0.113390,0.056150,-0.003780,-0.028597,-0.003787,-0.028489
0.800000,0.130070,0.064190,-0.004336,-0.032692,-0.004345,-0.032550
0.900000,0.146700,0.072580,-0.004890,-0.036965,-0.004902,-0.036784
1.000000,0.163300,0.081990,-0.005443,-0.041757,-0.005458,-0.041530
1.100000,0.180020,0.093030,-0.006001,-0.047380,-0.006019,-0.047095
1.200000,0.196690,0.095690,-0.006556,-0.048735,-0.006578,-0.048415
1.300000,0.213340,0.102440,-0.007111,-0.052172,-0.007137,-0.051801
1.400000,0.229960,0.106260,-0.007665,-0.054118,-0.007695,-0.053703
1.500000,0.246660,0.124050,-0.008222,-0.063178,-0.008256,-0.062659
1.600000,0.263350,0.127280,-0.008778,-0.064823,-0.008817,-0.064254
1.700000,0.279960,0.124980,-0.009332,-0.063652,-0.009376,-0.063058
1.800000,0.296610,0.139070,-0.009887,-0.070828,-0.009936,-0.070127
1.900000,0.313270,0.145080,-0.010442,-0.073889,-0.010497,-0.073117
2.000000,0.329970,0.154090,-0.010999,-0.078477,-0.011060,-0.077614
2.100000,0.346700,0.163030,-0.011557,-0.083030,-0.011624,-0.082071
2.200000,0.363290,0.168170,-0.012110,-0.085648,-0.012184,-0.084611
2.300000,0.379910,0.178250,-0.012664,-0.090782,-0.012745,-0.089632
2.400000,0.396600,0.182430,-0.013220,-0.092911,-0.013308,-0.091683
2.500000,0.413340,0.192760,-0.013778,-0.098172,-0.013874,-0.096819
2.600000,0.429950,0.202450,-0.014332,-0.103107,-0.014435,-0.101629
2.700000,0.446570,0.206040,-0.014886,-0.104935,-0.014998,-0.103373
2.800000,0.463260,0.215730,-0.015442,-0.109870,-0.015562,-0.108174
2.900000,0.479920,0.220830,-0.015997,-0.112468,-0.016127,-0.110669
3.000000,0.496570,0.237430,-0.016552,-0.120922,-0.016691,-0.118921
3.100000,0.513190,0.246250,-0.017106,-0.125414,-0.017254,-0.123269
3.200000,0.529880,0.251720,-0.017663,-0.128200,-0.017821,-0.125936
3.300000,0.546550,0.249980,-0.018218,-0.127314,-0.018386,-0.124994
3.400000,0.563250,0.261450,-0.018775,-0.133155,-0.018953,-0.130655
3.500000,0.579950,0.270720,-0.019332,-0.137877,-0.019521,-0.135211
3.600000,0.596590,0.274710,-0.019886,-0.139909,-0.020087,-0.137126
3.700000,0.613250,0.283930,-0.020442,-0.144604,-0.020653,-0.141648
3.800000,0.629910,0.297770,-0.020997,-0.151653,-0.021221,-0.148469
3.900000,0.646590,0.302270,-0.021553,-0.153945,-0.021789,-0.150627
4.000000,0.663190,0.305580,-0.022106,-0.155631,-0.022354,-0.152190
4.100000,0.679890,0.310480,-0.022663,-0.158126,-0.022924,-0.154543
4.200000,0.696600,0.319460,-0.023220,-0.162700,-0.023494,-0.158922
4.300000,0.713250,0.329230,-0.023775,-0.167675,-0.024062,-0.163689
4.400000,0.729870,0.336730,-0.024329,-0.171495,-0.024630,-0.167323
4.500000,0.746530,0.341900,-0.024884,-0.174128,-0.025199,-0.169795
4.600000,0.763220,0.354580,-0.025441,-0.180586,-0.025770,-0.175992
4.700000,0.779930,0.364420,-0.025998,-0.185598,-0.026342,-0.180772
4.800000,0.796590,0.371500,-0.026553,-0.189203,-0.026912,-0.184179
4.900000,0.813220,0.370250,-0.027107,-0.188567,-0.027482,-0.183455
5.000000,0.829850,0.379790,-0.027662,-0.193425,-0.028051,-0.188075
5.100000,0.846570,0.391440,-0.028219,-0.199359,-0.028625,-0.193733
5.200000,0.863260,0.398280,-0.028775,-0.202842,-0.029197,-0.197005
5.300000,0.879890,0.401750,-0.029330,-0.204610,-0.029768,-0.198608
5.400000,0.896580,0.411920,-0.029886,-0.209789,-0.030342,-0.203519
5.500000,0.913270,0.418920,-0.030442,-0.213354,-0.030915,-0.206859
5.600000,0.930000,0.422650,-0.031000,-0.215254,-0.031491,-0.208581
5.700000,0.946610,0.440930,-0.031554,-0.224564,-0.032062,-0.217478
5.800000,0.963280,0.441260,-0.032109,-0.224732,-0.032636,-0.217516
5.900000,0.979920,0.448480,-0.032664,-0.228409,-0.033209,-0.220948
6.000000,0.996590,0.459080,-0.033220,-0.233808,-0.033784,-0.226041
6.100000,1.013230,0.473160,-0.033774,-0.240978,-0.034358,-0.232840
6.200000,1.029860,0.472440,-0.034329,-0.240612,-0.034932,-0.232352
6.300000,1.046560,0.482270,-0.034885,-0.245618,-0.035508,-0.237050
6.400000,1.063220,0.497680,-0.035441,-0.253466,-0.036084,-0.244483
6.500000,1.079920,0.498970,-0.035997,-0.254123,-0.036661,-0.244976
6.600000,1.096510,0.506420,-0.036550,-0.257918,-0.037235,-0.248491
6.700000,1.113200,0.513120,-0.037107,-0.261330,-0.037813,-0.251633
6.800000,1.129920,0.520520,-0.037664,-0.265099,-0.038392,-0.255114
6.900000,1.146640,0.527340,-0.038221,-0.268572,-0.038971,-0.258307
7.000000,1.163270,0.542180,-0.038776,-0.276130,-0.039547,-0.265423
7.100000,1.179920,0.543640,-0.039331,-0.276874,-0.040125,-0.265984
7.200000,1.196600,0.548150,-0.039887,-0.279171,-0.040704,-0.268035
7.300000,1.213240,0.555710,-0.040441,-0.283021,-0.041282,-0.271575
7.400000,1.229930,0.563260,-0.040998,-0.286866,-0.041862,-0.275105
7.500000,1.246540,0.576410,-0.041551,-0.293563,-0.042439,-0.281365
7.600000,1.263210,0.576250,-0.042107,-0.293482,-0.043019,-0.281124
7.700000,1.279930,0.589710,-0.042664,-0.300337,-0.043601,-0.287523
7.800000,1.296610,0.599600,-0.043220,-0.305374,-0.044182,-0.292175
7.900000,1.313230,0.604190,-0.043774,-0.307711,-0.044761,-0.294242
8.000000,1.329850,0.616650,-0.044328,-0.314057,-0.045341,-0.300136
8.100000,1.346570,0.622930,-0.044886,-0.317256,-0.045924,-0.303015
8.200000,1.363280,0.624780,-0.045443,-0.318198,-0.046508,-0.303738
8.300000,1.379930,0.632290,-0.045998,-0.322023,-0.047089,-0.307210
8.400000,1.396590,0.638280,-0.046553,-0.325073,-0.047671,-0.309940
8.500000,1.413270,0.649680,-0.047109,-0.330879,-0.048255,-0.315292
8.600000,1.429940,0.657420,-0.047665,-0.334821,-0.048838,-0.318862
8.700000,1.446610,0.668360,-0.048220,-0.340393,-0.049422,-0.323979
8.800000,1.463240,0.680220,-0.048775,-0.346433,-0.050004,-0.329536
8.900000,1.479910,0.674540,-0.049330,-0.343540,-0.050589,-0.326593
9.000000,1.496660,0.685260,-0.049889,-0.349000,-0.051176,-0.331589
9.100000,1.513340,0.699150,-0.050445,-0.356074,-0.051761,-0.338112
9.200000,1.529940,0.704500,-0.050998,-0.358799,-0.052344,-0.340501
9.300000,1.546590,0.712720,-0.051553,-0.362985,-0.052929,-0.344272
9.400000,1.563310,0.722130,-0.052110,-0.367778,-0.053517,-0.348613
9.500000,1.579970,0.731750,-0.052666,-0.372677,-0.054103,-0.353050
9.600000,1.596610,0.732220,-0.053220,-0.372917,-0.054689,-0.353070
9.700000,1.613170,0.750520,-0.053772,-0.382237,-0.055272,-0.361683
9.800000,1.629890,0.746820,-0.054330,-0.380352,-0.055861,-0.359688
9.900000,1.646550,0.761780,-0.054885,-0.387971,-0.056449,-0.366678
10.000000,1.663260,0.767710,-0.055442,-0.390991,-0.057038,-0.369314
10.100000,1.679890,0.771330,-0.055996,-0.392835,-0.057625,-0.370838
10.200000,1.696520,0.777360,-0.056551,-0.395906,-0.058213,-0.373517
10.300000,1.713230,0.783930,-0.057108,-0.399252,-0.058803,-0.376452
10.400000,1.729960,0.793400,-0.057665,-0.404075,-0.059395,-0.380774
10.500000,1.746620,0.802530,-0.058221,-0.408725,-0.059984,-0.384929
10.600000,1.763240,0.811010,-0.058775,-0.413044,-0.060573,-0.388767
10.700000,1.779930,0.811400,-0.059331,-0.413243,-0.061164,-0.388725
10.800000,1.796600,0.827480,-0.059887,-0.421432,-0.061755,-0.396194
10.900000,1.813230,0.832060,-0.060441,-0.423765,-0.062345,-0.398152
11.000000,1.829900,0.848690,-0.060997,-0.432234,-0.062936,-0.405869
11.100000,1.846600,0.860660,-0.061553,-0.438331,-0.063529,-0.411350
11.200000,1.863270,0.859980,-0.062109,-0.437984,-0.064122,-0.410781
11.300000,1.879960,0.870950,-0.062665,-0.443571,-0.064715,-0.415775
11.400000,1.896560,0.875370,-0.063219,-0.445822,-0.065305,-0.417638
11.500000,1.913210,0.888950,-0.063774,-0.452739,-0.065898,-0.423866
11.600000,1.929900,0.890850,-0.064330,-0.453706,-0.066492,-0.424519
11.700000,1.946630,0.899130,-0.064888,-0.457923,-0.067089,-0.428210
11.800000,1.963260,0.905380,-0.065442,-0.461106,-0.067682,-0.430931
11.900000,1.979890,0.910980,-0.065996,-0.463958,-0.068275,-0.433339
12.000000,1.996570,0.921430,-0.066552,-0.469280,-0.068870,-0.438049
