EF30_50T_B_sample_5
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 10kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,-0.012470,-0.000000,0.006351,0.000000,0.006351
0.100000,0.007830,0.016670,-0.000261,-0.008490,-0.000261,-0.008488
0.200000,0.028190,0.074620,-0.000940,-0.038004,-0.000940,-0.037968
0.300000,0.046380,0.064200,-0.001546,-0.032697,-0.001547,-0.032646
0.400000,0.063280,0.114000,-0.002109,-0.058060,-0.002112,-0.057937
0.500000,0.079950,0.114560,-0.002665,-0.058345,-0.002669,-0.058189
0.600000,0.096650,0.173370,-0.003222,-0.088297,-0.003227,-0.088012
0.700000,0.113330,0.230420,-0.003778,-0.117352,-0.003785,-0.116909
0.800000,0.130000,0.240300,-0.004333,-0.122384,-0.004343,-0.121853
0.900000,0.146610,0.258900,-0.004887,-0.131857,-0.004899,-0.131212
1.000000,0.163260,0.277400,-0.005442,-0.141279,-0.005457,-0.140510
1.100000,0.179920,0.347920,-0.005997,-0.177194,-0.006015,-0.176132
1.200000,0.196650,0.334420,-0.006555,-0.170319,-0.006577,-0.169202
1.300000,0.213340,0.388700,-0.007111,-0.197963,-0.007137,-0.196556
1.400000,0.229930,0.395490,-0.007664,-0.201421,-0.007694,-0.199878
1.500000,0.246630,0.427230,-0.008221,-0.217586,-0.008255,-0.215798
1.600000,0.263350,0.488530,-0.008778,-0.248806,-0.008817,-0.246622
1.700000,0.279990,0.483080,-0.009333,-0.246031,-0.009377,-0.243734
1.800000,0.296570,0.506330,-0.009886,-0.257872,-0.009935,-0.255323
1.900000,0.313290,0.534860,-0.010443,-0.272402,-0.010498,-0.269557
2.000000,0.329990,0.599530,-0.011000,-0.305338,-0.011061,-0.301980
2.100000,0.346630,0.593990,-0.011554,-0.302517,-0.011622,-0.299021
2.200000,0.363300,0.677150,-0.012110,-0.344870,-0.012184,-0.340693
2.300000,0.379920,0.693720,-0.012664,-0.353309,-0.012745,-0.348834
2.400000,0.396590,0.691450,-0.013220,-0.352153,-0.013308,-0.347497
2.500000,0.413250,0.727880,-0.013775,-0.370706,-0.013871,-0.365600
2.600000,0.429960,0.767090,-0.014332,-0.390676,-0.014436,-0.385077
2.700000,0.446570,0.773850,-0.014886,-0.394119,-0.014998,-0.388252
2.800000,0.463240,0.837210,-0.015441,-0.426388,-0.015562,-0.419804
2.900000,0.479930,0.850670,-0.015998,-0.433243,-0.016127,-0.426312
3.000000,0.496570,0.867010,-0.016552,-0.441565,-0.016691,-0.434256
3.100000,0.513220,0.950080,-0.017107,-0.483872,-0.017255,-0.475594
3.200000,0.529830,0.950370,-0.017661,-0.484019,-0.017819,-0.475471
3.300000,0.546570,0.982670,-0.018219,-0.500470,-0.018387,-0.491352
3.400000,0.563260,1.035430,-0.018775,-0.527340,-0.018954,-0.517439
3.500000,0.579930,1.063980,-0.019331,-0.541881,-0.019520,-0.531405
3.600000,0.596590,1.112440,-0.019886,-0.566561,-0.020087,-0.555294
3.700000,0.613290,1.113030,-0.020443,-0.566862,-0.020655,-0.555273
3.800000,0.629940,1.163100,-0.020998,-0.592362,-0.021222,-0.579924
3.900000,0.646650,1.198070,-0.021555,-0.610172,-0.021791,-0.597020
4.000000,0.663270,1.229780,-0.022109,-0.626322,-0.022357,-0.612474
4.100000,0.679930,1.254770,-0.022664,-0.639049,-0.022925,-0.624565
4.200000,0.696660,1.321930,-0.023222,-0.673253,-0.023496,-0.657619
4.300000,0.713320,1.387690,-0.023777,-0.706745,-0.024065,-0.689940
4.400000,0.729940,1.357560,-0.024331,-0.691400,-0.024632,-0.674577
4.500000,0.746530,1.424720,-0.024884,-0.725604,-0.025199,-0.707548
4.600000,0.763250,1.433880,-0.025442,-0.730269,-0.025771,-0.711690
4.700000,0.779900,1.502780,-0.025997,-0.765360,-0.026341,-0.745463
4.800000,0.796580,1.525650,-0.026553,-0.777007,-0.026912,-0.756376
4.900000,0.813200,1.582990,-0.027107,-0.806210,-0.027481,-0.784357
5.000000,0.829850,1.559440,-0.027662,-0.794216,-0.028051,-0.772247
5.100000,0.846550,1.612840,-0.028218,-0.821413,-0.028624,-0.798234
5.200000,0.863270,1.708490,-0.028776,-0.870127,-0.029198,-0.845088
5.300000,0.879910,1.672890,-0.029330,-0.851996,-0.029769,-0.827007
5.400000,0.896550,1.733620,-0.029885,-0.882925,-0.030341,-0.856539
5.500000,0.913260,1.776630,-0.030442,-0.904830,-0.030915,-0.877285
5.600000,0.929940,1.842230,-0.030998,-0.938240,-0.031489,-0.909156
5.700000,0.946620,1.824620,-0.031554,-0.929271,-0.032063,-0.899949
5.800000,0.963250,1.858390,-0.032108,-0.946470,-0.032635,-0.916081
5.900000,0.979960,1.918830,-0.032665,-0.977252,-0.033211,-0.945330
6.000000,0.996620,1.947960,-0.033221,-0.992088,-0.033785,-0.959130
6.100000,1.013280,1.961370,-0.033776,-0.998918,-0.034360,-0.965178
6.200000,1.029900,2.024630,-0.034330,-1.031136,-0.034933,-0.995737
6.300000,1.046580,2.090740,-0.034886,-1.064805,-0.035509,-1.027658
6.400000,1.063270,2.126080,-0.035442,-1.082804,-0.036086,-1.044427
6.500000,1.079930,2.156610,-0.035998,-1.098352,-0.036662,-1.058814
6.600000,1.096560,2.142700,-0.036552,-1.091268,-0.037237,-1.051380
6.700000,1.113160,2.221380,-0.037105,-1.131340,-0.037811,-1.089361
6.800000,1.129890,2.223270,-0.037663,-1.132302,-0.038391,-1.089656
6.900000,1.146640,2.248400,-0.038221,-1.145101,-0.038971,-1.101333
7.000000,1.163270,2.286380,-0.038776,-1.164444,-0.039547,-1.119292
7.100000,1.179880,2.382350,-0.039329,-1.213321,-0.040124,-1.165602
7.200000,1.196620,2.392370,-0.039887,-1.218424,-0.040705,-1.169824
7.300000,1.213340,2.449870,-0.040445,-1.247709,-0.041285,-1.197245
7.400000,1.229940,2.449480,-0.040998,-1.247510,-0.041862,-1.196365
7.500000,1.246550,2.529080,-0.041552,-1.288050,-0.042440,-1.234529
7.600000,1.263210,2.558300,-0.042107,-1.302931,-0.043019,-1.248069
7.700000,1.279890,2.561280,-0.042663,-1.304449,-0.043600,-1.248797
7.800000,1.296610,2.579310,-0.043220,-1.313632,-0.044182,-1.256856
7.900000,1.313300,2.667200,-0.043777,-1.358394,-0.044764,-1.298928
8.000000,1.329900,2.666220,-0.044330,-1.357895,-0.045343,-1.297699
8.100000,1.346600,2.709220,-0.044887,-1.379794,-0.045925,-1.317860
8.200000,1.363290,2.743920,-0.045443,-1.397467,-0.046508,-1.333962
8.300000,1.379940,2.776130,-0.045998,-1.413871,-0.047090,-1.348836
8.400000,1.396570,2.826840,-0.046552,-1.439698,-0.047671,-1.372676
8.500000,1.413260,2.850720,-0.047109,-1.451860,-0.048254,-1.383465
8.600000,1.429940,2.917530,-0.047665,-1.485886,-0.048838,-1.415062
8.700000,1.446590,2.954310,-0.048220,-1.504618,-0.049421,-1.432066
8.800000,1.463240,2.943770,-0.048775,-1.499250,-0.050004,-1.426124
8.900000,1.479900,3.016750,-0.049330,-1.536418,-0.050588,-1.460627
9.000000,1.496590,3.057020,-0.049886,-1.556928,-0.051174,-1.479258
9.100000,1.513290,3.110560,-0.050443,-1.584195,-0.051760,-1.504284
9.200000,1.529940,3.149480,-0.050998,-1.604017,-0.052344,-1.522215
9.300000,1.546540,3.180810,-0.051551,-1.619973,-0.052928,-1.536461
9.400000,1.563250,3.216640,-0.052108,-1.638221,-0.053515,-1.552856
9.500000,1.579980,3.250580,-0.052666,-1.655507,-0.054104,-1.568318
9.600000,1.596610,3.253940,-0.053220,-1.657218,-0.054689,-1.569020
9.700000,1.613240,3.310770,-0.053775,-1.686161,-0.055275,-1.595489
9.800000,1.629930,3.369720,-0.054331,-1.716184,-0.055863,-1.622942
9.900000,1.646580,3.421110,-0.054886,-1.742357,-0.056450,-1.646726
10.000000,1.663250,3.441380,-0.055442,-1.752680,-0.057038,-1.655509
10.100000,1.679880,3.496060,-0.055996,-1.780529,-0.057625,-1.680826
10.200000,1.696550,3.516630,-0.056552,-1.791005,-0.058214,-1.689721
10.300000,1.713240,3.555420,-0.057108,-1.810761,-0.058804,-1.707352
10.400000,1.729970,3.614230,-0.057666,-1.840712,-0.059395,-1.734566
10.500000,1.746660,3.650420,-0.058222,-1.859144,-0.059986,-1.750901
10.600000,1.763280,3.661320,-0.058776,-1.864695,-0.060574,-1.755096
10.700000,1.779940,3.700970,-0.059331,-1.884889,-0.061164,-1.773056
10.800000,1.796570,3.745480,-0.059886,-1.907557,-0.061754,-1.793322
10.900000,1.813270,3.784250,-0.060442,-1.927303,-0.062346,-1.810812
11.000000,1.829830,3.826130,-0.060994,-1.948632,-0.062934,-1.829776
11.100000,1.846560,3.847990,-0.061552,-1.959765,-0.063528,-1.839138
11.200000,1.863260,3.899970,-0.062109,-1.986238,-0.064121,-1.862876
11.300000,1.879910,3.934420,-0.062664,-2.003784,-0.064713,-1.878219
11.400000,1.896530,3.972410,-0.063218,-2.023132,-0.065304,-1.895234
11.500000,1.913200,4.007310,-0.063773,-2.040906,-0.065898,-1.910751
11.600000,1.929910,4.056540,-0.064330,-2.065979,-0.066493,-1.933074
11.700000,1.946620,4.045250,-0.064887,-2.060229,-0.067088,-1.926546
11.800000,1.963290,4.110430,-0.065443,-2.093425,-0.067683,-1.956425
11.900000,1.979910,4.152270,-0.065997,-2.114734,-0.068276,-1.975168
12.000000,1.996570,4.228890,-0.066552,-2.153756,-0.068870,-2.010419
12.100000,2.013290,4.235080,-0.067110,-2.156909,-0.069468,-2.012159
12.200000,2.029990,4.287870,-0.067666,-2.183794,-0.070065,-2.036025
12.300000,2.046590,4.312200,-0.068220,-2.196185,-0.070658,-2.046362
12.400000,2.063280,4.401700,-0.068776,-2.241767,-0.071255,-2.087588
12.500000,2.079950,4.417070,-0.069332,-2.249595,-0.071852,-2.093627
12.600000,2.096660,4.443830,-0.069889,-2.263224,-0.072451,-2.105050
12.700000,2.113260,4.499200,-0.070442,-2.291424,-0.073046,-2.130011
12.800000,2.129910,4.518920,-0.070997,-2.301467,-0.073643,-2.138070
12.900000,2.146580,4.581370,-0.071553,-2.333273,-0.074242,-2.166321
13.000000,2.163240,4.596620,-0.072108,-2.341039,-0.074840,-2.172232
13.100000,2.179880,4.665250,-0.072663,-2.375992,-0.075438,-2.203346
13.200000,2.196510,4.705030,-0.073217,-2.396252,-0.076036,-2.220806
13.300000,2.213240,4.716370,-0.073775,-2.402028,-0.076638,-2.224819
13.400000,2.229900,4.782090,-0.074330,-2.435498,-0.077237,-2.254468
13.500000,2.246580,4.826060,-0.074886,-2.457892,-0.077838,-2.273830
13.600000,2.263160,4.853890,-0.075439,-2.472066,-0.078436,-2.285577
13.700000,2.279880,4.897240,-0.075996,-2.494144,-0.079039,-2.304599
13.800000,2.296590,4.942130,-0.076553,-2.517006,-0.079642,-2.324322
13.900000,2.313310,5.009870,-0.077110,-2.551506,-0.080246,-2.354758
14.000000,2.329920,4.997700,-0.077664,-2.545308,-0.080846,-2.347629
14.100000,2.346600,5.063720,-0.078220,-2.578931,-0.081449,-2.377207
14.200000,2.363270,5.062710,-0.078776,-2.578417,-0.082052,-2.375301
14.300000,2.379910,5.141410,-0.079330,-2.618499,-0.082654,-2.410772
14.400000,2.396580,5.169980,-0.079886,-2.633049,-0.083258,-2.422705
14.500000,2.413200,5.215840,-0.080440,-2.656405,-0.083860,-2.442724
14.600000,2.429910,5.229660,-0.080997,-2.663444,-0.084466,-2.447713
14.700000,2.446600,5.294290,-0.081553,-2.696360,-0.085071,-2.476463
14.800000,2.463300,5.304580,-0.082110,-2.701600,-0.085678,-2.479772
14.900000,2.479910,5.374330,-0.082664,-2.737124,-0.086281,-2.510863
15.000000,2.496530,5.380010,-0.083218,-2.740017,-0.086885,-2.511999
15.100000,2.513220,5.474910,-0.083774,-2.788349,-0.087492,-2.554758
15.200000,2.529890,5.498100,-0.084330,-2.800159,-0.088099,-2.564023
15.300000,2.546550,5.509820,-0.084885,-2.806128,-0.088706,-2.567930
15.400000,2.563210,5.568730,-0.085440,-2.836131,-0.089313,-2.593811
15.500000,2.579910,5.637740,-0.085997,-2.871277,-0.089921,-2.624356
15.600000,2.596560,5.663510,-0.086552,-2.884402,-0.090529,-2.634751
15.700000,2.613250,5.713910,-0.087108,-2.910070,-0.091138,-2.656579
15.800000,2.629880,5.744690,-0.087663,-2.925747,-0.091745,-2.669268
15.900000,2.646580,5.813150,-0.088219,-2.960613,-0.092356,-2.699430
16.000000,2.663290,5.812020,-0.088776,-2.960037,-0.092967,-2.697256
16.100000,2.680000,5.849760,-0.089333,-2.979258,-0.093578,-2.713111
16.200000,2.696610,5.887680,-0.089887,-2.998571,-0.094187,-2.729038
16.300000,2.713260,5.974770,-0.090442,-3.042925,-0.094797,-2.767717
16.400000,2.729980,5.972620,-0.090999,-3.041830,-0.095409,-2.765026
16.500000,2.746630,6.022740,-0.091554,-3.067356,-0.096020,-2.786527
16.600000,2.763300,6.062880,-0.092110,-3.087799,-0.096632,-2.803382
16.700000,2.779870,6.113340,-0.092662,-3.113498,-0.097241,-2.824994
16.800000,2.796580,6.165680,-0.093219,-3.140155,-0.097855,-2.847432
16.900000,2.813260,6.169420,-0.093775,-3.142060,-0.098468,-2.847412
17.000000,2.829960,6.233170,-0.094332,-3.174527,-0.099082,-2.875068
17.100000,2.846570,6.296830,-0.094886,-3.206949,-0.099694,-2.902656
17.200000,2.863210,6.328210,-0.095440,-3.222931,-0.100307,-2.915333
17.300000,2.879900,6.371130,-0.095997,-3.244790,-0.100922,-2.933301
17.400000,2.896620,6.386540,-0.096554,-3.252638,-0.101539,-2.938583
17.500000,2.913290,6.444930,-0.097110,-3.282376,-0.102154,-2.963625
17.600000,2.929930,6.496960,-0.097664,-3.308875,-0.102769,-2.985716
17.700000,2.946640,6.524640,-0.098221,-3.322972,-0.103386,-2.996585
17.800000,2.963280,6.591120,-0.098776,-3.356830,-0.104001,-3.025256
17.900000,2.979900,6.624340,-0.099330,-3.373749,-0.104616,-3.038634
18.000000,2.996550,6.645340,-0.099885,-3.384444,-0.105233,-3.046389
18.100000,3.013260,6.680680,-0.100442,-3.402442,-0.105852,-3.060694
18.200000,3.029930,6.732650,-0.100998,-3.428910,-0.106470,-3.082599
18.300000,3.046620,6.769740,-0.101554,-3.447800,-0.107089,-3.097662
18.400000,3.063200,6.782260,-0.102107,-3.454177,-0.107704,-3.101482
