EF10_75T_A_sample_2
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 1kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,0.002720,-0.000000,-0.001385,0.000000,-0.001385
0.100000,0.007350,0.016780,-0.000245,-0.008546,-0.000245,-0.008544
0.200000,0.028360,0.028320,-0.000945,-0.014423,-0.000946,-0.014410
0.300000,0.046380,0.029430,-0.001546,-0.014989,-0.001547,-0.014965
0.400000,0.063340,0.052610,-0.002111,-0.026794,-0.002114,-0.026737
0.500000,0.080120,0.057480,-0.002671,-0.029274,-0.002674,-0.029196
0.600000,0.096740,0.063520,-0.003225,-0.032350,-0.003230,-0.032246
0.700000,0.113360,0.082180,-0.003779,-0.041854,-0.003786,-0.041696
0.800000,0.130040,0.090660,-0.004335,-0.046173,-0.004344,-0.045973
0.900000,0.146700,0.098330,-0.004890,-0.050079,-0.004902,-0.049834
1.000000,0.163390,0.107390,-0.005446,-0.054693,-0.005461,-0.054395
1.100000,0.180010,0.120640,-0.006000,-0.061441,-0.006018,-0.061073
1.200000,0.196640,0.131370,-0.006555,-0.066906,-0.006576,-0.066468
1.300000,0.213360,0.141650,-0.007112,-0.072142,-0.007137,-0.071629
1.400000,0.230010,0.147180,-0.007667,-0.074958,-0.007697,-0.074383
1.500000,0.246640,0.159320,-0.008221,-0.081141,-0.008255,-0.080474
1.600000,0.263310,0.171860,-0.008777,-0.087528,-0.008816,-0.086759
1.700000,0.280010,0.178040,-0.009334,-0.090675,-0.009377,-0.089829
1.800000,0.296690,0.191430,-0.009890,-0.097494,-0.009939,-0.096530
1.900000,0.313290,0.195810,-0.010443,-0.099725,-0.010498,-0.098684
2.000000,0.329950,0.205190,-0.010998,-0.104502,-0.011059,-0.103353
2.100000,0.346640,0.218010,-0.011555,-0.111032,-0.011622,-0.109749
2.200000,0.363300,0.233170,-0.012110,-0.118753,-0.012184,-0.117314
2.300000,0.379980,0.237020,-0.012666,-0.120713,-0.012747,-0.119184
2.400000,0.396610,0.250450,-0.013220,-0.127553,-0.013308,-0.125867
2.500000,0.413210,0.253010,-0.013774,-0.128857,-0.013869,-0.127082
2.600000,0.429920,0.264740,-0.014331,-0.134831,-0.014434,-0.132899
2.700000,0.446650,0.274900,-0.014888,-0.140005,-0.015000,-0.137921
2.800000,0.463280,0.282770,-0.015443,-0.144014,-0.015563,-0.141790
2.900000,0.479890,0.291860,-0.015996,-0.148643,-0.016126,-0.146265
3.000000,0.496600,0.305830,-0.016553,-0.155758,-0.016692,-0.153180
3.100000,0.513290,0.317510,-0.017110,-0.161707,-0.017258,-0.158940
3.200000,0.529960,0.328030,-0.017665,-0.167064,-0.017823,-0.164113
3.300000,0.546590,0.338020,-0.018220,-0.172152,-0.018388,-0.169016
3.400000,0.563240,0.345440,-0.018775,-0.175931,-0.018953,-0.172628
3.500000,0.579870,0.358010,-0.019329,-0.182333,-0.019518,-0.178809
3.600000,0.596580,0.366850,-0.019886,-0.186835,-0.020086,-0.183120
3.700000,0.613230,0.376720,-0.020441,-0.191862,-0.020653,-0.187940
3.800000,0.629890,0.384170,-0.020996,-0.195656,-0.021220,-0.191548
3.900000,0.646570,0.388750,-0.021552,-0.197989,-0.021788,-0.193722
4.000000,0.663330,0.407170,-0.022111,-0.207370,-0.022359,-0.202785
4.100000,0.679990,0.410760,-0.022666,-0.209198,-0.022927,-0.204457
4.200000,0.696580,0.429920,-0.023219,-0.218956,-0.023493,-0.213872
4.300000,0.713200,0.433520,-0.023773,-0.220790,-0.024060,-0.215541
4.400000,0.729910,0.442600,-0.024330,-0.225414,-0.024631,-0.219930
4.500000,0.746550,0.452510,-0.024885,-0.230461,-0.025200,-0.224726
4.600000,0.763210,0.467950,-0.025440,-0.238325,-0.025770,-0.232262
4.700000,0.779890,0.480950,-0.025996,-0.244946,-0.026340,-0.238578
4.800000,0.796540,0.483470,-0.026551,-0.246229,-0.026910,-0.239692
4.900000,0.813230,0.495700,-0.027108,-0.252458,-0.027482,-0.245614
5.000000,0.829860,0.512080,-0.027662,-0.260800,-0.028052,-0.253586
5.100000,0.846530,0.516340,-0.028218,-0.262970,-0.028623,-0.255549
5.200000,0.863230,0.526870,-0.028774,-0.268333,-0.029196,-0.260612
5.300000,0.879930,0.538180,-0.029331,-0.274093,-0.029770,-0.266053
5.400000,0.896630,0.549270,-0.029888,-0.279741,-0.030343,-0.271380
5.500000,0.913240,0.553240,-0.030441,-0.281763,-0.030914,-0.273186
5.600000,0.929920,0.565160,-0.030997,-0.287834,-0.031488,-0.278912
5.700000,0.946630,0.578300,-0.031554,-0.294526,-0.032063,-0.285232
5.800000,0.963330,0.586060,-0.032111,-0.298478,-0.032638,-0.288893
5.900000,0.979940,0.600710,-0.032665,-0.305939,-0.033210,-0.295946
6.000000,0.996560,0.605490,-0.033219,-0.308374,-0.033783,-0.298130
6.100000,1.013230,0.622270,-0.033774,-0.316920,-0.034358,-0.306216
6.200000,1.029900,0.635390,-0.034330,-0.323601,-0.034933,-0.312492
6.300000,1.046570,0.639690,-0.034886,-0.325791,-0.035509,-0.314426
6.400000,1.063220,0.648110,-0.035441,-0.330080,-0.036084,-0.318381
6.500000,1.079880,0.657710,-0.035996,-0.334969,-0.036660,-0.322911
6.600000,1.096540,0.667430,-0.036551,-0.339919,-0.037236,-0.327495
6.700000,1.113240,0.684190,-0.037108,-0.348455,-0.037814,-0.335525
6.800000,1.129840,0.690760,-0.037661,-0.351801,-0.038389,-0.338552
6.900000,1.146540,0.696950,-0.038218,-0.354954,-0.038967,-0.341388
7.000000,1.163240,0.711850,-0.038775,-0.362542,-0.039546,-0.348485
7.100000,1.179910,0.720240,-0.039330,-0.366815,-0.040125,-0.352388
7.200000,1.196560,0.733170,-0.039885,-0.373400,-0.040703,-0.358507
7.300000,1.213230,0.744440,-0.040441,-0.379140,-0.041281,-0.363807
7.400000,1.229960,0.746330,-0.040999,-0.380103,-0.041863,-0.364519
7.500000,1.246650,0.762040,-0.041555,-0.388104,-0.042443,-0.371976
7.600000,1.263310,0.769140,-0.042110,-0.391720,-0.043023,-0.375224
7.700000,1.279880,0.782460,-0.042663,-0.398504,-0.043599,-0.381502
7.800000,1.296500,0.790870,-0.043217,-0.402787,-0.044178,-0.385380
7.900000,1.313230,0.804730,-0.043774,-0.409846,-0.044761,-0.391905
8.000000,1.329930,0.812870,-0.044331,-0.413991,-0.045344,-0.395639
8.100000,1.346580,0.829930,-0.044886,-0.422680,-0.045925,-0.403707
8.200000,1.363210,0.837540,-0.045440,-0.426556,-0.046505,-0.407173
8.300000,1.379890,0.848340,-0.045996,-0.432056,-0.047088,-0.412183
8.400000,1.396570,0.854930,-0.046552,-0.435412,-0.047671,-0.415143
8.500000,1.413210,0.866190,-0.047107,-0.441147,-0.048253,-0.420366
8.600000,1.429870,0.876410,-0.047662,-0.446352,-0.048836,-0.425078
8.700000,1.446590,0.883710,-0.048220,-0.450070,-0.049421,-0.428368
8.800000,1.463270,0.897150,-0.048776,-0.456915,-0.050005,-0.434628
8.900000,1.479950,0.911880,-0.049332,-0.464417,-0.050590,-0.441506
9.000000,1.496600,0.919300,-0.049887,-0.468196,-0.051174,-0.444839
9.100000,1.513260,0.932350,-0.050442,-0.474842,-0.051759,-0.450890
9.200000,1.529960,0.939250,-0.050999,-0.478356,-0.052345,-0.453961
9.300000,1.546670,0.957190,-0.051556,-0.487493,-0.052932,-0.462360
9.400000,1.563260,0.963240,-0.052109,-0.490574,-0.053515,-0.465011
9.500000,1.579910,0.979650,-0.052664,-0.498932,-0.054101,-0.472656
9.600000,1.596620,0.985450,-0.053221,-0.501886,-0.054689,-0.475175
9.700000,1.613320,0.994450,-0.053777,-0.506469,-0.055277,-0.479233
9.800000,1.629950,1.004230,-0.054332,-0.511450,-0.055863,-0.483662
9.900000,1.646580,1.019110,-0.054886,-0.519028,-0.056450,-0.490541
10.000000,1.663290,1.030510,-0.055443,-0.524834,-0.057039,-0.495736
10.100000,1.679970,1.040470,-0.055999,-0.529907,-0.057628,-0.500233
10.200000,1.696590,1.052370,-0.056553,-0.535968,-0.058215,-0.505657
10.300000,1.713230,1.061200,-0.057108,-0.540465,-0.058803,-0.509600
10.400000,1.729890,1.074400,-0.057663,-0.547187,-0.059392,-0.515635
10.500000,1.746590,1.083520,-0.058220,-0.551832,-0.059983,-0.519705
10.600000,1.763310,1.094370,-0.058777,-0.557358,-0.060575,-0.524598
10.700000,1.779900,1.103550,-0.059330,-0.562033,-0.061163,-0.528688
10.800000,1.796530,1.115480,-0.059884,-0.568109,-0.061752,-0.534088
10.900000,1.813290,1.123790,-0.060443,-0.572342,-0.062347,-0.537748
11.000000,1.829990,1.138580,-0.061000,-0.579874,-0.062939,-0.544502
11.100000,1.846620,1.148480,-0.061554,-0.584916,-0.063530,-0.548912
11.200000,1.863220,1.165090,-0.062107,-0.593375,-0.064120,-0.556522
11.300000,1.879860,1.173750,-0.062662,-0.597786,-0.064711,-0.560328
11.400000,1.896530,1.185020,-0.063218,-0.603526,-0.065304,-0.565372
11.500000,1.913210,1.192640,-0.063774,-0.607407,-0.065898,-0.568670
11.600000,1.929870,1.196670,-0.064329,-0.609459,-0.066491,-0.570253
11.700000,1.946540,1.213330,-0.064885,-0.617944,-0.067085,-0.577849
11.800000,1.963270,1.225950,-0.065442,-0.624371,-0.067682,-0.583511
11.900000,1.979880,1.237320,-0.065996,-0.630162,-0.068275,-0.588574
12.000000,1.996520,1.243880,-0.066551,-0.633503,-0.068869,-0.591343
12.100000,2.013180,1.257980,-0.067106,-0.640684,-0.069464,-0.597690
12.200000,2.029940,1.274780,-0.067665,-0.649240,-0.070063,-0.605310
12.300000,2.046630,1.279240,-0.068221,-0.651512,-0.070660,-0.607065
12.400000,2.063280,1.290680,-0.068776,-0.657338,-0.071255,-0.612129
12.500000,2.079910,1.310130,-0.069330,-0.667244,-0.071851,-0.620983
12.600000,2.096580,1.312500,-0.069886,-0.668451,-0.072448,-0.621735
12.700000,2.113290,1.322350,-0.070443,-0.673467,-0.073047,-0.626026
12.800000,2.129980,1.335670,-0.070999,-0.680251,-0.073646,-0.631954
12.900000,2.146590,1.347360,-0.071553,-0.686205,-0.074242,-0.637105
13.000000,2.163240,1.357390,-0.072108,-0.691313,-0.074840,-0.641464
13.100000,2.179880,1.377860,-0.072663,-0.701738,-0.075438,-0.650748
13.200000,2.196570,1.376500,-0.073219,-0.701046,-0.076038,-0.649716
13.300000,2.213260,1.389270,-0.073775,-0.707549,-0.076638,-0.655350
13.400000,2.229890,1.403420,-0.074330,-0.714756,-0.077237,-0.661628
13.500000,2.246550,1.415120,-0.074885,-0.720715,-0.077837,-0.666744
13.600000,2.263260,1.424330,-0.075442,-0.725405,-0.078439,-0.670679
13.700000,2.279910,1.436580,-0.075997,-0.731644,-0.079040,-0.676041
13.800000,2.296560,1.448210,-0.076552,-0.737567,-0.079641,-0.681105
13.900000,2.313270,1.456040,-0.077109,-0.741555,-0.080244,-0.684375
14.000000,2.329940,1.471970,-0.077665,-0.749668,-0.080846,-0.691445
14.100000,2.346660,1.476320,-0.078222,-0.751884,-0.081451,-0.693070
14.200000,2.363240,1.492450,-0.078775,-0.760099,-0.082051,-0.700222
