EF10_75T_A_sample_3
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 1kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,-0.004100,-0.000000,0.002088,0.000000,0.002088
0.100000,0.006690,0.016750,-0.000223,-0.008531,-0.000223,-0.008529
0.200000,0.027790,0.016930,-0.000926,-0.008622,-0.000927,-0.008614
0.300000,0.046250,0.028240,-0.001542,-0.014383,-0.001543,-0.014360
0.400000,0.063300,0.040600,-0.002110,-0.020677,-0.002112,-0.020634
0.500000,0.080090,0.052090,-0.002670,-0.026529,-0.002673,-0.026458
0.600000,0.096730,0.062570,-0.003224,-0.031867,-0.003230,-0.031764
0.700000,0.113370,0.079920,-0.003779,-0.040703,-0.003786,-0.040549
0.800000,0.130050,0.083240,-0.004335,-0.042394,-0.004344,-0.042210
0.900000,0.146690,0.090120,-0.004890,-0.045898,-0.004902,-0.045673
1.000000,0.163380,0.101200,-0.005446,-0.051541,-0.005461,-0.051260
1.100000,0.180010,0.112050,-0.006000,-0.057067,-0.006018,-0.056724
1.200000,0.196630,0.118100,-0.006554,-0.060148,-0.006576,-0.059754
1.300000,0.213350,0.132560,-0.007112,-0.067512,-0.007137,-0.067032
1.400000,0.230010,0.135060,-0.007667,-0.068785,-0.007697,-0.068258
1.500000,0.246640,0.152220,-0.008221,-0.077525,-0.008255,-0.076888
1.600000,0.263310,0.154980,-0.008777,-0.078931,-0.008816,-0.078238
1.700000,0.280010,0.163290,-0.009334,-0.083163,-0.009377,-0.082387
1.800000,0.296680,0.174770,-0.009889,-0.089010,-0.009939,-0.088129
1.900000,0.313290,0.183960,-0.010443,-0.093690,-0.010498,-0.092712
2.000000,0.329950,0.191410,-0.010998,-0.097484,-0.011059,-0.096412
2.100000,0.346630,0.199880,-0.011554,-0.101798,-0.011622,-0.100622
2.200000,0.363290,0.211720,-0.012110,-0.107828,-0.012184,-0.106522
2.300000,0.379980,0.218370,-0.012666,-0.111215,-0.012747,-0.109806
2.400000,0.396620,0.226870,-0.013221,-0.115544,-0.013309,-0.114016
2.500000,0.413210,0.237480,-0.013774,-0.120948,-0.013869,-0.119282
2.600000,0.429910,0.253180,-0.014330,-0.128944,-0.014434,-0.127096
2.700000,0.446640,0.261780,-0.014888,-0.133323,-0.015000,-0.131339
2.800000,0.463280,0.273520,-0.015443,-0.139303,-0.015563,-0.137151
2.900000,0.479900,0.277660,-0.015997,-0.141411,-0.016126,-0.139149
3.000000,0.496590,0.292230,-0.016553,-0.148832,-0.016692,-0.146368
3.100000,0.513270,0.304430,-0.017109,-0.155045,-0.017257,-0.152392
3.200000,0.529940,0.309920,-0.017665,-0.157841,-0.017823,-0.155053
3.300000,0.546590,0.319070,-0.018220,-0.162501,-0.018388,-0.159540
3.400000,0.563220,0.330560,-0.018774,-0.168353,-0.018952,-0.165192
3.500000,0.579870,0.338160,-0.019329,-0.172223,-0.019518,-0.168895
3.600000,0.596570,0.347410,-0.019886,-0.176934,-0.020086,-0.173416
3.700000,0.613210,0.363060,-0.020440,-0.184905,-0.020652,-0.181125
3.800000,0.629860,0.369150,-0.020995,-0.188007,-0.021219,-0.184059
3.900000,0.646560,0.382560,-0.021552,-0.194836,-0.021788,-0.190637
4.000000,0.663320,0.388210,-0.022111,-0.197714,-0.022359,-0.193342
4.100000,0.679990,0.394680,-0.022666,-0.201009,-0.022927,-0.196453
4.200000,0.696580,0.409500,-0.023219,-0.208557,-0.023493,-0.203714
4.300000,0.713190,0.412420,-0.023773,-0.210044,-0.024060,-0.205050
4.400000,0.729900,0.431540,-0.024330,-0.219782,-0.024631,-0.214434
4.500000,0.746540,0.441460,-0.024885,-0.224834,-0.025200,-0.219239
4.600000,0.763210,0.449460,-0.025440,-0.228908,-0.025770,-0.223085
4.700000,0.779900,0.455590,-0.025997,-0.232030,-0.026341,-0.225998
4.800000,0.796540,0.473990,-0.026551,-0.241401,-0.026910,-0.234992
4.900000,0.813230,0.484860,-0.027108,-0.246937,-0.027482,-0.240243
5.000000,0.829850,0.490220,-0.027662,-0.249667,-0.028051,-0.242761
5.100000,0.846520,0.505190,-0.028217,-0.257291,-0.028623,-0.250031
5.200000,0.863220,0.509410,-0.028774,-0.259440,-0.029196,-0.251975
5.300000,0.879930,0.520380,-0.029331,-0.265027,-0.029770,-0.257254
5.400000,0.896620,0.529910,-0.029887,-0.269881,-0.030343,-0.261815
5.500000,0.913240,0.541590,-0.030441,-0.275830,-0.030914,-0.267433
5.600000,0.929920,0.549060,-0.030997,-0.279634,-0.031488,-0.270966
5.700000,0.946630,0.557240,-0.031554,-0.283800,-0.032063,-0.274845
5.800000,0.963340,0.572690,-0.032111,-0.291669,-0.032638,-0.282303
5.900000,0.979940,0.579630,-0.032665,-0.295203,-0.033210,-0.285560
6.000000,0.996570,0.594760,-0.033219,-0.302909,-0.033783,-0.292846
6.100000,1.013260,0.604130,-0.033775,-0.307681,-0.034359,-0.297289
6.200000,1.029930,0.610960,-0.034331,-0.311159,-0.034934,-0.300477
6.300000,1.046600,0.624090,-0.034887,-0.317846,-0.035510,-0.306758
6.400000,1.063250,0.635270,-0.035442,-0.323540,-0.036085,-0.312074
6.500000,1.079900,0.644310,-0.035997,-0.328144,-0.036661,-0.316332
6.600000,1.096550,0.658130,-0.036552,-0.335183,-0.037236,-0.322931
6.700000,1.113250,0.667630,-0.037108,-0.340021,-0.037814,-0.327404
6.800000,1.129840,0.669400,-0.037661,-0.340923,-0.038389,-0.328083
6.900000,1.146540,0.683630,-0.038218,-0.348170,-0.038967,-0.334864
7.000000,1.163250,0.701130,-0.038775,-0.357083,-0.039547,-0.343237
7.100000,1.179910,0.710100,-0.039330,-0.361651,-0.040125,-0.347427
7.200000,1.196550,0.711220,-0.039885,-0.362221,-0.040702,-0.347774
7.300000,1.213220,0.725970,-0.040441,-0.369733,-0.041281,-0.354781
7.400000,1.229960,0.734400,-0.040999,-0.374027,-0.041863,-0.358692
7.500000,1.246650,0.747390,-0.041555,-0.380643,-0.042443,-0.364825
7.600000,1.263330,0.757090,-0.042111,-0.385583,-0.043023,-0.369345
7.700000,1.279890,0.775460,-0.042663,-0.394939,-0.043600,-0.378089
7.800000,1.296500,0.783350,-0.043217,-0.398957,-0.044178,-0.381715
7.900000,1.313220,0.789580,-0.043774,-0.402130,-0.044761,-0.384527
8.000000,1.329930,0.801080,-0.044331,-0.407987,-0.045344,-0.389900
8.100000,1.346590,0.804040,-0.044886,-0.409494,-0.045925,-0.391114
8.200000,1.363220,0.825590,-0.045441,-0.420470,-0.046505,-0.401363
8.300000,1.379860,0.836380,-0.045995,-0.425965,-0.047087,-0.406372
8.400000,1.396560,0.842320,-0.046552,-0.428990,-0.047670,-0.409020
8.500000,1.413190,0.851290,-0.047106,-0.433558,-0.048252,-0.413135
8.600000,1.429870,0.857970,-0.047662,-0.436961,-0.048836,-0.416134
8.700000,1.446580,0.872970,-0.048219,-0.444600,-0.049421,-0.423162
8.800000,1.463250,0.882530,-0.048775,-0.449469,-0.050005,-0.427546
8.900000,1.479940,0.894620,-0.049331,-0.455626,-0.050590,-0.433150
