EF10_75T_A_sample_4
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 1kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,-0.001730,-0.000000,0.000881,0.000000,0.000881
0.100000,0.006680,0.014170,-0.000223,-0.007217,-0.000223,-0.007215
0.200000,0.027780,0.027940,-0.000926,-0.014230,-0.000926,-0.014217
0.300000,0.046260,0.030180,-0.001542,-0.015371,-0.001543,-0.015347
0.400000,0.063300,0.044310,-0.002110,-0.022567,-0.002112,-0.022519
0.500000,0.080090,0.056470,-0.002670,-0.028760,-0.002673,-0.028683
0.600000,0.096730,0.068920,-0.003224,-0.035101,-0.003230,-0.034987
0.700000,0.113380,0.072560,-0.003779,-0.036955,-0.003786,-0.036815
0.800000,0.130060,0.087110,-0.004335,-0.044365,-0.004345,-0.044172
0.900000,0.146690,0.097240,-0.004890,-0.049524,-0.004902,-0.049282
1.000000,0.163380,0.101020,-0.005446,-0.051449,-0.005461,-0.051169
1.100000,0.180000,0.115460,-0.006000,-0.058803,-0.006018,-0.058450
1.200000,0.196620,0.125820,-0.006554,-0.064080,-0.006576,-0.063660
1.300000,0.213350,0.134920,-0.007112,-0.068714,-0.007137,-0.068226
1.400000,0.230010,0.147570,-0.007667,-0.075157,-0.007697,-0.074581
1.500000,0.246640,0.149210,-0.008221,-0.075992,-0.008255,-0.075367
1.600000,0.263300,0.160380,-0.008777,-0.081681,-0.008815,-0.080964
1.700000,0.280000,0.170980,-0.009333,-0.087079,-0.009377,-0.086267
1.800000,0.296690,0.178530,-0.009890,-0.090925,-0.009939,-0.090025
1.900000,0.313290,0.185530,-0.010443,-0.094490,-0.010498,-0.093503
2.000000,0.329960,0.198610,-0.010999,-0.101151,-0.011060,-0.100039
2.100000,0.346630,0.207480,-0.011554,-0.105669,-0.011622,-0.104448
2.200000,0.363300,0.221100,-0.012110,-0.112605,-0.012184,-0.111242
2.300000,0.379990,0.227020,-0.012666,-0.115620,-0.012747,-0.114156
2.400000,0.396620,0.236900,-0.013221,-0.120652,-0.013309,-0.119057
2.500000,0.413220,0.243120,-0.013774,-0.123820,-0.013870,-0.122115
2.600000,0.429920,0.257640,-0.014331,-0.131215,-0.014434,-0.129335
2.700000,0.446650,0.262240,-0.014888,-0.133558,-0.015000,-0.131569
2.800000,0.463290,0.272100,-0.015443,-0.138579,-0.015563,-0.136439
2.900000,0.479920,0.290730,-0.015997,-0.148068,-0.016127,-0.145699
3.000000,0.496600,0.297400,-0.016553,-0.151465,-0.016692,-0.148957
3.100000,0.513270,0.312190,-0.017109,-0.158997,-0.017257,-0.156277
3.200000,0.529940,0.310560,-0.017665,-0.158167,-0.017823,-0.155373
3.300000,0.546580,0.320850,-0.018219,-0.163408,-0.018387,-0.160430
3.400000,0.563210,0.337070,-0.018774,-0.171668,-0.018952,-0.168445
3.500000,0.579860,0.340430,-0.019329,-0.173380,-0.019518,-0.170028
3.600000,0.596560,0.356110,-0.019885,-0.181365,-0.020086,-0.177759
3.700000,0.613200,0.364760,-0.020440,-0.185771,-0.020652,-0.181974
3.800000,0.629840,0.368760,-0.020995,-0.187808,-0.021218,-0.183865
3.900000,0.646550,0.378110,-0.021552,-0.192570,-0.021787,-0.188420
4.000000,0.663310,0.387550,-0.022110,-0.197378,-0.022358,-0.193014
4.100000,0.679980,0.401730,-0.022666,-0.204599,-0.022927,-0.199962
4.200000,0.696590,0.408740,-0.023220,-0.208170,-0.023493,-0.203336
4.300000,0.713210,0.421190,-0.023774,-0.214510,-0.024061,-0.209411
4.400000,0.729910,0.437100,-0.024330,-0.222613,-0.024631,-0.217197
4.500000,0.746550,0.438540,-0.024885,-0.223347,-0.025200,-0.217789
4.600000,0.763190,0.450770,-0.025440,-0.229575,-0.025769,-0.223735
4.700000,0.779880,0.457280,-0.025996,-0.232891,-0.026340,-0.226837
4.800000,0.796530,0.465080,-0.026551,-0.236863,-0.026910,-0.230574
4.900000,0.813230,0.473620,-0.027108,-0.241213,-0.027482,-0.234674
5.000000,0.829870,0.486290,-0.027662,-0.247665,-0.028052,-0.240814
5.100000,0.846540,0.498420,-0.028218,-0.253843,-0.028624,-0.246680
5.200000,0.863220,0.510320,-0.028774,-0.259904,-0.029196,-0.252425
5.300000,0.879930,0.524040,-0.029331,-0.266891,-0.029770,-0.259063
5.400000,0.896620,0.522290,-0.029887,-0.266000,-0.030343,-0.258050
5.500000,0.913240,0.539310,-0.030441,-0.274668,-0.030914,-0.266307
5.600000,0.929930,0.547520,-0.030998,-0.278850,-0.031488,-0.270206
5.700000,0.946630,0.559570,-0.031554,-0.284987,-0.032063,-0.275994
5.800000,0.963320,0.571090,-0.032111,-0.290854,-0.032638,-0.281514
5.900000,0.979930,0.580820,-0.032664,-0.295809,-0.033210,-0.286147
6.000000,0.996550,0.592860,-0.033218,-0.301941,-0.033783,-0.291911
6.100000,1.013260,0.602830,-0.033775,-0.307019,-0.034359,-0.296649
6.200000,1.029930,0.610340,-0.034331,-0.310844,-0.034934,-0.300172
6.300000,1.046600,0.625190,-0.034887,-0.318407,-0.035510,-0.307299
6.400000,1.063230,0.633850,-0.035441,-0.322817,-0.036084,-0.311376
6.500000,1.079900,0.643660,-0.035997,-0.327813,-0.036661,-0.316013
6.600000,1.096550,0.654040,-0.036552,-0.333100,-0.037236,-0.320924
6.700000,1.113260,0.665720,-0.037109,-0.339048,-0.037815,-0.326467
6.800000,1.129860,0.675880,-0.037662,-0.344223,-0.038390,-0.331259
6.900000,1.146540,0.684620,-0.038218,-0.348674,-0.038967,-0.335348
7.000000,1.163250,0.696610,-0.038775,-0.354781,-0.039547,-0.341024
7.100000,1.179920,0.703930,-0.039331,-0.358509,-0.040125,-0.344408
7.200000,1.196550,0.714530,-0.039885,-0.363907,-0.040702,-0.349393
7.300000,1.213220,0.723510,-0.040441,-0.368481,-0.041281,-0.353579
7.400000,1.229960,0.739740,-0.040999,-0.376746,-0.041863,-0.361300
7.500000,1.246640,0.749400,-0.041555,-0.381666,-0.042443,-0.365806
7.600000,1.263320,0.754620,-0.042111,-0.384325,-0.043023,-0.368141
7.700000,1.279870,0.769090,-0.042662,-0.391694,-0.043599,-0.374984
7.800000,1.296500,0.781190,-0.043217,-0.397857,-0.044178,-0.380663
7.900000,1.313230,0.793800,-0.043774,-0.404279,-0.044761,-0.386582
8.000000,1.329930,0.799110,-0.044331,-0.406983,-0.045344,-0.388941
8.100000,1.346590,0.813700,-0.044886,-0.414414,-0.045925,-0.395812
8.200000,1.363210,0.821020,-0.045440,-0.418142,-0.046505,-0.399142
8.300000,1.379870,0.831440,-0.045996,-0.423449,-0.047087,-0.403972
8.400000,1.396560,0.844230,-0.046552,-0.429963,-0.047670,-0.409947
8.500000,1.413190,0.852360,-0.047106,-0.434103,-0.048252,-0.413654
8.600000,1.429860,0.866720,-0.047662,-0.441417,-0.048835,-0.420378
8.700000,1.446580,0.875830,-0.048219,-0.446057,-0.049421,-0.424548
8.800000,1.463250,0.886760,-0.048775,-0.451623,-0.050005,-0.429595
8.900000,1.479940,0.894030,-0.049331,-0.455326,-0.050590,-0.432864
9.000000,1.496600,0.905660,-0.049887,-0.461249,-0.051174,-0.438239
9.100000,1.513270,0.922460,-0.050442,-0.469805,-0.051759,-0.446107
9.200000,1.529970,0.930990,-0.050999,-0.474149,-0.052345,-0.449968
9.300000,1.546680,0.941610,-0.051556,-0.479558,-0.052933,-0.454834
9.400000,1.563270,0.942430,-0.052109,-0.479976,-0.053516,-0.454965
9.500000,1.579920,0.961010,-0.052664,-0.489438,-0.054101,-0.463663
9.600000,1.596630,0.973160,-0.053221,-0.495626,-0.054690,-0.469249
9.700000,1.613320,0.981990,-0.053777,-0.500123,-0.055277,-0.473228
9.800000,1.629960,0.991240,-0.054332,-0.504834,-0.055864,-0.477406
9.900000,1.646580,1.003860,-0.054886,-0.511262,-0.056450,-0.483201
10.000000,1.663290,1.010570,-0.055443,-0.514679,-0.057039,-0.486144
10.100000,1.679960,1.026720,-0.055999,-0.522904,-0.057628,-0.493622
10.200000,1.696590,1.037540,-0.056553,-0.528415,-0.058215,-0.498531
10.300000,1.713240,1.045730,-0.057108,-0.532586,-0.058804,-0.502171
10.400000,1.729890,1.059260,-0.057663,-0.539477,-0.059392,-0.508369
10.500000,1.746580,1.073650,-0.058219,-0.546805,-0.059983,-0.514971
10.600000,1.763300,1.080700,-0.058777,-0.550396,-0.060575,-0.518046
10.700000,1.779890,1.088700,-0.059330,-0.554470,-0.061163,-0.521574
10.800000,1.796530,1.104910,-0.059884,-0.562726,-0.061752,-0.529028
10.900000,1.813270,1.113970,-0.060442,-0.567340,-0.062346,-0.533049
11.000000,1.829970,1.127480,-0.060999,-0.574221,-0.062939,-0.539194
11.100000,1.846610,1.139780,-0.061554,-0.580485,-0.063530,-0.544754
11.200000,1.863240,1.151110,-0.062108,-0.586256,-0.064120,-0.549844
11.300000,1.879900,1.160070,-0.062663,-0.590819,-0.064713,-0.553796
11.400000,1.896540,1.170770,-0.063218,-0.596268,-0.065305,-0.558573
11.500000,1.913200,1.182570,-0.063773,-0.602278,-0.065898,-0.563869
11.600000,1.929860,1.194060,-0.064329,-0.608130,-0.066491,-0.569010
11.700000,1.946550,1.199990,-0.064885,-0.611150,-0.067086,-0.571495
11.800000,1.963280,1.210780,-0.065443,-0.616645,-0.067682,-0.576290
11.900000,1.979890,1.219330,-0.065996,-0.621000,-0.068275,-0.580016
12.000000,1.996530,1.237440,-0.066551,-0.630223,-0.068869,-0.588281
12.100000,2.013170,1.249790,-0.067106,-0.636513,-0.069463,-0.593799
12.200000,2.029920,1.256160,-0.067664,-0.639757,-0.070062,-0.596469
12.300000,2.046620,1.268660,-0.068221,-0.646123,-0.070659,-0.602044
12.400000,2.063260,1.288040,-0.068775,-0.655993,-0.071255,-0.610877
12.500000,2.079900,1.295630,-0.069330,-0.659859,-0.071851,-0.614111
12.600000,2.096560,1.295980,-0.069885,-0.660037,-0.072447,-0.613910
12.700000,2.113270,1.318190,-0.070442,-0.671349,-0.073046,-0.624057
12.800000,2.129950,1.324740,-0.070998,-0.674685,-0.073645,-0.626783
12.900000,2.146570,1.339500,-0.071552,-0.682202,-0.074241,-0.633389
13.000000,2.163230,1.349210,-0.072108,-0.687147,-0.074840,-0.637598
