EF50_12_5T_A_sample_2
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 10kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,-0.011060,-0.000000,0.005633,0.000000,0.005633
0.100000,0.007450,0.011930,-0.000248,-0.006076,-0.000248,-0.006074
0.200000,0.028200,0.044690,-0.000940,-0.022760,-0.000940,-0.022739
0.300000,0.046320,0.083590,-0.001544,-0.042572,-0.001545,-0.042506
0.400000,0.063260,0.112270,-0.002109,-0.057179,-0.002111,-0.057058
0.500000,0.080020,0.158000,-0.002667,-0.080469,-0.002671,-0.080254
0.600000,0.096690,0.197850,-0.003223,-0.100764,-0.003228,-0.100439
0.700000,0.113310,0.240170,-0.003777,-0.122318,-0.003784,-0.121856
0.800000,0.130030,0.291490,-0.004334,-0.148455,-0.004344,-0.147811
0.900000,0.146670,0.352820,-0.004889,-0.179690,-0.004901,-0.178811
1.000000,0.163340,0.412060,-0.005445,-0.209860,-0.005460,-0.208718
1.100000,0.179920,0.495760,-0.005997,-0.252488,-0.006015,-0.250974
1.200000,0.196640,0.574440,-0.006555,-0.292560,-0.006576,-0.290642
1.300000,0.213380,0.663570,-0.007113,-0.337953,-0.007138,-0.335550
1.400000,0.229980,0.752220,-0.007666,-0.383103,-0.007696,-0.380166
1.500000,0.246610,0.850710,-0.008220,-0.433263,-0.008254,-0.429701
1.600000,0.263250,0.954960,-0.008775,-0.486357,-0.008814,-0.482089
1.700000,0.280000,1.058580,-0.009333,-0.539130,-0.009377,-0.534098
1.800000,0.296660,1.174010,-0.009889,-0.597918,-0.009938,-0.592006
1.900000,0.313330,1.288660,-0.010444,-0.656309,-0.010499,-0.649454
2.000000,0.329920,1.408180,-0.010997,-0.717180,-0.011058,-0.709293
2.100000,0.346590,1.527140,-0.011553,-0.777766,-0.011620,-0.768780
2.200000,0.363270,1.649060,-0.012109,-0.839859,-0.012183,-0.829690
2.300000,0.379970,1.776340,-0.012666,-0.904683,-0.012747,-0.893224
2.400000,0.396590,1.901170,-0.013220,-0.968258,-0.013308,-0.955458
2.500000,0.413240,2.027050,-0.013775,-1.032368,-0.013870,-1.018148
2.600000,0.429930,2.163640,-0.014331,-1.101933,-0.014435,-1.086141
