EF50_12_5T_B_sample_2
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 10kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,-0.006710,-0.000000,0.003417,0.000000,0.003417
0.100000,0.007270,0.002140,-0.000242,-0.001090,-0.000242,-0.001090
0.200000,0.028010,-0.002260,-0.000934,0.001151,-0.000934,0.001150
0.300000,0.046350,-0.006900,-0.001545,0.003514,-0.001546,0.003509
0.400000,0.063270,0.003290,-0.002109,-0.001676,-0.002111,-0.001672
0.500000,0.079990,0.007120,-0.002666,-0.003626,-0.002670,-0.003617
0.600000,0.096650,0.020020,-0.003222,-0.010196,-0.003227,-0.010163
0.700000,0.113360,0.043190,-0.003779,-0.021996,-0.003786,-0.021913
0.800000,0.130050,0.067130,-0.004335,-0.034189,-0.004344,-0.034041
0.900000,0.146690,0.089260,-0.004890,-0.045460,-0.004902,-0.045237
1.000000,0.163280,0.119560,-0.005443,-0.060891,-0.005458,-0.060560
1.100000,0.180000,0.158740,-0.006000,-0.080846,-0.006018,-0.080361
1.200000,0.196730,0.202040,-0.006558,-0.102898,-0.006579,-0.102223
1.300000,0.213310,0.251410,-0.007110,-0.128042,-0.007136,-0.127132
1.400000,0.229950,0.301260,-0.007665,-0.153430,-0.007695,-0.152254
1.500000,0.246650,0.361720,-0.008222,-0.184222,-0.008256,-0.182708
1.600000,0.263380,0.442460,-0.008779,-0.225343,-0.008818,-0.223365
1.700000,0.280000,0.507580,-0.009333,-0.258508,-0.009377,-0.256096
1.800000,0.296660,0.596190,-0.009889,-0.303637,-0.009938,-0.300635
1.900000,0.313270,0.681050,-0.010442,-0.346856,-0.010497,-0.343234
2.000000,0.329930,0.760860,-0.010998,-0.387503,-0.011059,-0.383241
2.100000,0.346630,0.855690,-0.011554,-0.435799,-0.011622,-0.430764
2.200000,0.363330,0.948130,-0.012111,-0.482879,-0.012185,-0.477031
2.300000,0.379920,1.042430,-0.012664,-0.530905,-0.012745,-0.524182
2.400000,0.396560,1.143220,-0.013219,-0.582237,-0.013307,-0.574541
2.500000,0.413260,1.245620,-0.013775,-0.634389,-0.013871,-0.625650
2.600000,0.429920,1.343640,-0.014331,-0.684310,-0.014434,-0.674504
2.700000,0.446550,1.436600,-0.014885,-0.731654,-0.014997,-0.720764
2.800000,0.463240,1.542420,-0.015441,-0.785548,-0.015562,-0.773418
2.900000,0.479930,1.647830,-0.015998,-0.839233,-0.016127,-0.825807
3.000000,0.496620,1.759000,-0.016554,-0.895851,-0.016693,-0.881021
3.100000,0.513270,1.866150,-0.017109,-0.950422,-0.017257,-0.934162
