EF50_12_5T_B_sample_4
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 10kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,-0.003090,-0.000000,0.001574,0.000000,0.001574
0.100000,0.007250,0.003990,-0.000242,-0.002032,-0.000242,-0.002032
0.200000,0.028000,0.005640,-0.000933,-0.002872,-0.000934,-0.002870
0.300000,0.046350,0.014540,-0.001545,-0.007405,-0.001546,-0.007394
0.400000,0.063290,0.017310,-0.002110,-0.008816,-0.002112,-0.008797
0.500000,0.080010,0.032590,-0.002667,-0.016598,-0.002671,-0.016554
0.600000,0.096660,0.043050,-0.003222,-0.021925,-0.003227,-0.021855
0.700000,0.113360,0.066310,-0.003779,-0.033771,-0.003786,-0.033644
0.800000,0.130040,0.082290,-0.004335,-0.041910,-0.004344,-0.041728
0.900000,0.146690,0.106990,-0.004890,-0.054490,-0.004902,-0.054223
1.000000,0.163280,0.131630,-0.005443,-0.067039,-0.005458,-0.066674
1.100000,0.180010,0.153520,-0.006000,-0.078187,-0.006018,-0.077718
1.200000,0.196730,0.189510,-0.006558,-0.096517,-0.006579,-0.095884
1.300000,0.213310,0.227550,-0.007110,-0.115890,-0.007136,-0.115066
1.400000,0.229950,0.269060,-0.007665,-0.137031,-0.007695,-0.135981
1.500000,0.246640,0.323410,-0.008221,-0.164711,-0.008255,-0.163357
1.600000,0.263370,0.381010,-0.008779,-0.194047,-0.008818,-0.192343
1.700000,0.280010,0.441820,-0.009334,-0.225017,-0.009377,-0.222917
1.800000,0.296660,0.513350,-0.009889,-0.261447,-0.009938,-0.258862
1.900000,0.313270,0.587360,-0.010442,-0.299140,-0.010497,-0.296016
2.000000,0.329940,0.660060,-0.010998,-0.336166,-0.011059,-0.332469
2.100000,0.346630,0.736040,-0.011554,-0.374862,-0.011622,-0.370531
2.200000,0.363330,0.823720,-0.012111,-0.419517,-0.012185,-0.414436
2.300000,0.379920,0.903710,-0.012664,-0.460256,-0.012745,-0.454427
2.400000,0.396570,0.988940,-0.013219,-0.503663,-0.013307,-0.497005
2.500000,0.413270,1.078390,-0.013776,-0.549220,-0.013871,-0.541654
2.600000,0.429920,1.169070,-0.014331,-0.595402,-0.014434,-0.586870
2.700000,0.446550,1.262720,-0.014885,-0.643098,-0.014997,-0.633526
2.800000,0.463230,1.354080,-0.015441,-0.689627,-0.015561,-0.678979
2.900000,0.479930,1.452450,-0.015998,-0.739727,-0.016127,-0.727893
3.000000,0.496620,1.554110,-0.016554,-0.791502,-0.016693,-0.778399
3.100000,0.513270,1.651810,-0.017109,-0.841260,-0.017257,-0.826867
3.200000,0.529910,1.759980,-0.017664,-0.896350,-0.017822,-0.880518
3.300000,0.546580,1.863310,-0.018219,-0.948976,-0.018387,-0.931686
3.400000,0.563300,1.967440,-0.018777,-1.002009,-0.018955,-0.983195
3.500000,0.579970,2.069310,-0.019332,-1.053891,-0.019522,-1.033517
3.600000,0.596550,2.182810,-0.019885,-1.111696,-0.020085,-1.089590
3.700000,0.613190,2.289540,-0.020440,-1.166053,-0.020651,-1.142219
3.800000,0.629910,2.397360,-0.020997,-1.220965,-0.021221,-1.195329
3.900000,0.646620,2.503980,-0.021554,-1.275267,-0.021790,-1.247779
4.000000,0.663200,2.624750,-0.022107,-1.336774,-0.022355,-1.307223
4.100000,0.679850,2.739430,-0.022662,-1.395180,-0.022922,-1.363563
4.200000,0.696530,2.862150,-0.023218,-1.457681,-0.023491,-1.423837
4.300000,0.713240,2.979590,-0.023775,-1.517493,-0.024062,-1.481415
4.400000,0.729940,3.098300,-0.024331,-1.577951,-0.024632,-1.539558
4.500000,0.746560,3.221710,-0.024885,-1.640803,-0.025200,-1.599971
4.600000,0.763220,3.345670,-0.025441,-1.703936,-0.025770,-1.660586
4.700000,0.779900,3.476790,-0.025997,-1.770715,-0.026341,-1.724682
4.800000,0.796570,3.603520,-0.026552,-1.835258,-0.026911,-1.786527
4.900000,0.813170,3.723500,-0.027106,-1.896363,-0.027480,-1.844961
5.000000,0.829880,3.856900,-0.027663,-1.964303,-0.028052,-1.909965
5.100000,0.846550,3.970150,-0.028218,-2.021981,-0.028624,-1.964924
5.200000,0.863270,4.112030,-0.028776,-2.094240,-0.029198,-2.033977
5.300000,0.879890,4.236150,-0.029330,-2.157453,-0.029768,-2.094176
5.400000,0.896540,4.372040,-0.029885,-2.226662,-0.030340,-2.160119
5.500000,0.913260,4.503010,-0.030442,-2.293364,-0.030915,-2.223550
5.600000,0.929920,4.633710,-0.030997,-2.359929,-0.031488,-2.286778
5.700000,0.946580,4.762310,-0.031553,-2.425425,-0.032061,-2.348896
5.800000,0.963240,4.896230,-0.032108,-2.493629,-0.032635,-2.413564
5.900000,0.979880,5.031210,-0.032663,-2.562374,-0.033208,-2.478680
6.000000,0.996590,5.164290,-0.033220,-2.630151,-0.033784,-2.542779
6.100000,1.013270,5.297080,-0.033776,-2.697781,-0.034359,-2.606661
6.200000,1.029850,5.438650,-0.034328,-2.769882,-0.034931,-2.674796
6.300000,1.046550,5.564250,-0.034885,-2.833849,-0.035508,-2.734990
6.400000,1.063260,5.707400,-0.035442,-2.906755,-0.036085,-2.803734
6.500000,1.079980,5.837750,-0.035999,-2.973142,-0.036663,-2.866111
6.600000,1.096560,5.971620,-0.036552,-3.041321,-0.037237,-2.930155
6.700000,1.113290,6.108740,-0.037110,-3.111156,-0.037816,-2.995702
6.800000,1.129940,6.244100,-0.037665,-3.180094,-0.038392,-3.060317
6.900000,1.146590,6.380770,-0.038220,-3.249699,-0.038969,-3.125497
7.000000,1.163300,6.527370,-0.038777,-3.324362,-0.039549,-3.195455
7.100000,1.179900,6.653560,-0.039330,-3.388630,-0.040124,-3.255355
7.200000,1.196600,6.794020,-0.039887,-3.460166,-0.040704,-3.322151
7.300000,1.213290,6.935740,-0.040443,-3.532343,-0.041284,-3.389485
7.400000,1.230000,7.073180,-0.041000,-3.602341,-0.041864,-3.454645
7.500000,1.246550,7.210570,-0.041552,-3.672313,-0.042440,-3.519722
7.600000,1.263210,7.345980,-0.042107,-3.741277,-0.043019,-3.583743
7.700000,1.279910,7.480260,-0.042664,-3.809665,-0.043601,-3.647131
7.800000,1.296600,7.619020,-0.043220,-3.880335,-0.044182,-3.712627
7.900000,1.313240,7.756650,-0.043775,-3.950429,-0.044762,-3.777501
8.000000,1.329860,7.895530,-0.044329,-4.021160,-0.045341,-3.842908
8.100000,1.346540,8.038480,-0.044885,-4.093964,-0.045923,-3.910208
8.200000,1.363190,8.175190,-0.045440,-4.163590,-0.046504,-3.974398
8.300000,1.379870,8.314280,-0.045996,-4.234428,-0.047087,-4.039663
