EF50_37_5T_B_sample_3
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 10kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,0.019060,-0.000000,-0.009707,0.000000,-0.009707
0.100000,0.007940,0.071830,-0.000265,-0.036583,-0.000265,-0.036573
0.200000,0.028140,0.194130,-0.000938,-0.098870,-0.000938,-0.098777
0.300000,0.046330,0.218970,-0.001544,-0.111521,-0.001546,-0.111348
0.400000,0.063230,0.357340,-0.002108,-0.181992,-0.002110,-0.181608
0.500000,0.079950,0.407000,-0.002665,-0.207283,-0.002669,-0.206731
0.600000,0.096580,0.519660,-0.003219,-0.264661,-0.003225,-0.263809
0.700000,0.113250,0.595410,-0.003775,-0.303240,-0.003782,-0.302095
0.800000,0.129930,0.679870,-0.004331,-0.346255,-0.004340,-0.344755
0.900000,0.146570,0.731440,-0.004886,-0.372519,-0.004898,-0.370699
1.000000,0.163230,0.799150,-0.005441,-0.407004,-0.005456,-0.404789
1.100000,0.179930,0.886880,-0.005998,-0.451684,-0.006016,-0.448975
1.200000,0.196640,0.964440,-0.006555,-0.491185,-0.006576,-0.487966
1.300000,0.213350,1.031310,-0.007112,-0.525242,-0.007137,-0.521507
1.400000,0.230000,1.149580,-0.007667,-0.585476,-0.007696,-0.580988
1.500000,0.246580,1.254250,-0.008219,-0.638784,-0.008253,-0.633534
1.600000,0.263260,1.275450,-0.008775,-0.649581,-0.008814,-0.643881
1.700000,0.279970,1.330640,-0.009332,-0.677689,-0.009376,-0.671365
1.800000,0.296650,1.455740,-0.009888,-0.741402,-0.009938,-0.734071
1.900000,0.313300,1.482700,-0.010443,-0.755133,-0.010498,-0.747247
2.000000,0.329940,1.625240,-0.010998,-0.827728,-0.011059,-0.818625
2.100000,0.346610,1.713810,-0.011554,-0.872836,-0.011621,-0.862752
2.200000,0.363280,1.773940,-0.012109,-0.903460,-0.012183,-0.892520
2.300000,0.379920,1.854860,-0.012664,-0.944672,-0.012745,-0.932709
2.400000,0.396540,1.956170,-0.013218,-0.996269,-0.013306,-0.983101
2.500000,0.413210,2.032460,-0.013774,-1.035123,-0.013869,-1.020866
2.600000,0.429920,2.133240,-0.014331,-1.086450,-0.014434,-1.070881
2.700000,0.446610,2.196920,-0.014887,-1.118882,-0.014999,-1.102225
