EF50_37_5T_B_sample_4
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 10kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,0.008960,-0.000000,-0.004563,0.000000,-0.004563
0.100000,0.007690,0.064210,-0.000256,-0.032702,-0.000256,-0.032694
0.200000,0.027990,0.120550,-0.000933,-0.061396,-0.000933,-0.061338
0.300000,0.046330,0.217880,-0.001544,-0.110965,-0.001546,-0.110794
0.400000,0.063260,0.346090,-0.002109,-0.176262,-0.002111,-0.175891
0.500000,0.080010,0.384590,-0.002667,-0.195870,-0.002671,-0.195348
0.600000,0.096630,0.442770,-0.003221,-0.225501,-0.003226,-0.224775
0.700000,0.113300,0.525100,-0.003777,-0.267431,-0.003784,-0.266421
0.800000,0.129970,0.609900,-0.004332,-0.310620,-0.004342,-0.309274
0.900000,0.146600,0.708130,-0.004887,-0.360648,-0.004899,-0.358885
1.000000,0.163280,0.774150,-0.005443,-0.394271,-0.005458,-0.392125
1.100000,0.179970,0.872710,-0.005999,-0.444468,-0.006017,-0.441801
1.200000,0.196680,0.957050,-0.006556,-0.487422,-0.006578,-0.484226
1.300000,0.213370,1.055970,-0.007112,-0.537801,-0.007138,-0.533976
1.400000,0.230020,1.109530,-0.007667,-0.565079,-0.007697,-0.560746
1.500000,0.246600,1.142870,-0.008220,-0.582059,-0.008254,-0.577274
1.600000,0.263290,1.277020,-0.008776,-0.650381,-0.008815,-0.644673
1.700000,0.279990,1.342470,-0.009333,-0.683714,-0.009377,-0.677333
1.800000,0.296660,1.438540,-0.009889,-0.732642,-0.009938,-0.725398
1.900000,0.313300,1.511660,-0.010443,-0.769882,-0.010498,-0.761842
2.000000,0.329950,1.604400,-0.010998,-0.817114,-0.011059,-0.808127
2.100000,0.346630,1.696180,-0.011554,-0.863857,-0.011622,-0.853876
2.200000,0.363280,1.737160,-0.012109,-0.884728,-0.012183,-0.874015
2.300000,0.379930,1.799220,-0.012664,-0.916335,-0.012745,-0.904730
2.400000,0.396550,1.960590,-0.013218,-0.998520,-0.013306,-0.985322
2.500000,0.413220,1.985020,-0.013774,-1.010962,-0.013870,-0.997037
2.600000,0.429910,2.087150,-0.014330,-1.062977,-0.014434,-1.047744
2.700000,0.446600,2.122400,-0.014887,-1.080929,-0.014999,-1.064838
2.800000,0.463200,2.227010,-0.015440,-1.134207,-0.015560,-1.116695
2.900000,0.479870,2.293200,-0.015996,-1.167917,-0.016125,-1.149236
3.000000,0.496590,2.360880,-0.016553,-1.202386,-0.016692,-1.182483
3.100000,0.513280,2.466600,-0.017109,-1.256229,-0.017257,-1.234736
3.200000,0.529880,2.563540,-0.017663,-1.305600,-0.017821,-1.282540
3.300000,0.546560,2.589130,-0.018219,-1.318633,-0.018387,-1.294609
3.400000,0.563270,2.723050,-0.018776,-1.386838,-0.018954,-1.360799
3.500000,0.579910,2.841760,-0.019330,-1.447296,-0.019520,-1.419320
3.600000,0.596580,2.885420,-0.019886,-1.469532,-0.020086,-1.440309
3.700000,0.613210,2.962490,-0.020440,-1.508784,-0.020652,-1.477944
3.800000,0.629920,3.062970,-0.020997,-1.559958,-0.021221,-1.527203
3.900000,0.646590,3.094100,-0.021553,-1.575812,-0.021789,-1.541849
4.000000,0.663320,3.203210,-0.022111,-1.631381,-0.022359,-1.595311
4.100000,0.679920,3.307470,-0.022664,-1.684481,-0.022925,-1.646304
4.200000,0.696560,3.396670,-0.023219,-1.729910,-0.023492,-1.689744
4.300000,0.713240,3.416030,-0.023775,-1.739770,-0.024062,-1.698407
