EF50_50T_A_sample_1
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 10kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,0.016150,-0.000000,-0.008225,0.000000,-0.008225
0.100000,0.006400,0.022220,-0.000213,-0.011317,-0.000213,-0.011314
0.200000,0.026750,0.104010,-0.000892,-0.052972,-0.000892,-0.052925
0.300000,0.046070,0.171570,-0.001536,-0.087380,-0.001537,-0.087246
0.400000,0.063260,0.242980,-0.002109,-0.123749,-0.002111,-0.123488
0.500000,0.080040,0.267910,-0.002668,-0.136445,-0.002672,-0.136081
0.600000,0.096710,0.345320,-0.003224,-0.175870,-0.003229,-0.175303
0.700000,0.113350,0.408140,-0.003778,-0.207864,-0.003785,-0.207079
0.800000,0.130040,0.452570,-0.004335,-0.230492,-0.004344,-0.229493
0.900000,0.146700,0.499790,-0.004890,-0.254541,-0.004902,-0.253296
1.000000,0.163370,0.601170,-0.005446,-0.306173,-0.005461,-0.304506
1.100000,0.179950,0.636790,-0.005998,-0.324314,-0.006016,-0.322369
1.200000,0.196630,0.704250,-0.006554,-0.358672,-0.006576,-0.356321
1.300000,0.213340,0.754920,-0.007111,-0.384478,-0.007137,-0.381743
1.400000,0.229990,0.817480,-0.007666,-0.416339,-0.007696,-0.413147
1.500000,0.246640,0.898820,-0.008221,-0.457765,-0.008255,-0.454002
1.600000,0.263360,0.934680,-0.008779,-0.476029,-0.008817,-0.471850
1.700000,0.280040,1.011730,-0.009335,-0.515270,-0.009379,-0.510460
1.800000,0.296700,1.085890,-0.009890,-0.553039,-0.009939,-0.547570
1.900000,0.313310,1.150740,-0.010444,-0.586067,-0.010499,-0.579946
2.000000,0.329910,1.201700,-0.010997,-0.612021,-0.011058,-0.605290
2.100000,0.346570,1.268500,-0.011552,-0.646042,-0.011620,-0.638578
2.200000,0.363320,1.304570,-0.012111,-0.664412,-0.012185,-0.656366
2.300000,0.379990,1.391310,-0.012666,-0.708588,-0.012747,-0.699613
2.400000,0.396640,1.423680,-0.013221,-0.725074,-0.013310,-0.715488
2.500000,0.413260,1.484560,-0.013775,-0.756080,-0.013871,-0.745665
2.600000,0.429950,1.567080,-0.014332,-0.798107,-0.014435,-0.786669
2.700000,0.446620,1.583870,-0.014887,-0.806658,-0.014999,-0.794649
2.800000,0.463270,1.707300,-0.015442,-0.869521,-0.015563,-0.856093
2.900000,0.479920,1.765730,-0.015997,-0.899279,-0.016127,-0.884893
3.000000,0.496590,1.795110,-0.016553,-0.914242,-0.016692,-0.899109
3.100000,0.513290,1.884820,-0.017110,-0.959931,-0.017258,-0.943507
3.200000,0.529950,1.968550,-0.017665,-1.002574,-0.017823,-0.984864
3.300000,0.546580,2.014630,-0.018219,-1.026043,-0.018387,-1.007349
3.400000,0.563240,2.074020,-0.018775,-1.056290,-0.018953,-1.036458
3.500000,0.579980,2.132230,-0.019333,-1.085936,-0.019522,-1.064942
3.600000,0.596640,2.192800,-0.019888,-1.116784,-0.020088,-1.094573
3.700000,0.613250,2.259730,-0.020442,-1.150871,-0.020653,-1.127345
3.800000,0.629930,2.333080,-0.020998,-1.188228,-0.021221,-1.163278
3.900000,0.646620,2.408800,-0.021554,-1.226792,-0.021790,-1.200349
4.000000,0.663310,2.454570,-0.022110,-1.250102,-0.022358,-1.222462
