EF50_50T_A_sample_3
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 10kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,0.005870,-0.000000,-0.002990,0.000000,-0.002990
0.100000,0.007490,0.030980,-0.000250,-0.015778,-0.000250,-0.015774
0.200000,0.027920,0.117110,-0.000931,-0.059644,-0.000931,-0.059588
0.300000,0.046270,0.212600,-0.001542,-0.108276,-0.001544,-0.108109
0.400000,0.063250,0.238330,-0.002108,-0.121380,-0.002111,-0.121125
0.500000,0.080010,0.282490,-0.002667,-0.143871,-0.002671,-0.143487
0.600000,0.096670,0.322460,-0.003222,-0.164228,-0.003228,-0.163698
0.700000,0.113300,0.393890,-0.003777,-0.200607,-0.003784,-0.199849
0.800000,0.130000,0.461690,-0.004333,-0.235137,-0.004343,-0.234118
0.900000,0.146670,0.522610,-0.004889,-0.266163,-0.004901,-0.264862
1.000000,0.163350,0.561350,-0.005445,-0.285893,-0.005460,-0.284337
1.100000,0.179920,0.631850,-0.005997,-0.321799,-0.006015,-0.319869
1.200000,0.196590,0.699920,-0.006553,-0.356466,-0.006575,-0.354130
1.300000,0.213300,0.749570,-0.007110,-0.381753,-0.007135,-0.379039
1.400000,0.229960,0.783500,-0.007665,-0.399033,-0.007695,-0.395975
1.500000,0.246600,0.848090,-0.008220,-0.431929,-0.008254,-0.428378
1.600000,0.263320,0.918750,-0.008777,-0.467916,-0.008816,-0.463808
1.700000,0.280010,0.990020,-0.009334,-0.504213,-0.009377,-0.499507
1.800000,0.296690,1.032780,-0.009890,-0.525991,-0.009939,-0.520789
1.900000,0.313290,1.104570,-0.010443,-0.562553,-0.010498,-0.556678
2.000000,0.329890,1.156590,-0.010996,-0.589046,-0.011057,-0.582569
2.100000,0.346540,1.220030,-0.011551,-0.621356,-0.011619,-0.614179
2.200000,0.363270,1.264510,-0.012109,-0.644010,-0.012183,-0.636211
2.300000,0.379970,1.323050,-0.012666,-0.673824,-0.012747,-0.665289
2.400000,0.396630,1.399280,-0.013221,-0.712647,-0.013309,-0.703226
2.500000,0.413250,1.453540,-0.013775,-0.740282,-0.013871,-0.730084
2.600000,0.429960,1.532250,-0.014332,-0.780369,-0.014436,-0.769184
2.700000,0.446620,1.629490,-0.014887,-0.829892,-0.014999,-0.817538
2.800000,0.463260,1.690820,-0.015442,-0.861128,-0.015562,-0.847830
2.900000,0.479910,1.733460,-0.015997,-0.882844,-0.016126,-0.868721
3.000000,0.496590,1.799120,-0.016553,-0.916284,-0.016692,-0.901117
3.100000,0.513270,1.855910,-0.017109,-0.945207,-0.017257,-0.929036
3.200000,0.529920,1.917210,-0.017664,-0.976427,-0.017822,-0.959179
3.300000,0.546560,2.031640,-0.018219,-1.034706,-0.018387,-1.015855
3.400000,0.563210,2.038210,-0.018774,-1.038052,-0.018952,-1.018564
3.500000,0.579950,2.118820,-0.019332,-1.079106,-0.019521,-1.058245
3.600000,0.596630,2.183420,-0.019888,-1.112007,-0.020088,-1.089891
3.700000,0.613250,2.240810,-0.020442,-1.141235,-0.020653,-1.117906
3.800000,0.629920,2.375020,-0.020997,-1.209588,-0.021221,-1.184190
3.900000,0.646620,2.376220,-0.021554,-1.210199,-0.021790,-1.184114
4.000000,0.663300,2.444750,-0.022110,-1.245101,-0.022358,-1.217572
4.100000,0.679920,2.534650,-0.022664,-1.290887,-0.022925,-1.261630
4.200000,0.696590,2.603360,-0.023220,-1.325880,-0.023493,-1.295094
4.300000,0.713310,2.631810,-0.023777,-1.340370,-0.024064,-1.308500
4.400000,0.729970,2.727340,-0.024332,-1.389023,-0.024633,-1.355225
4.500000,0.746640,2.814180,-0.024888,-1.433250,-0.025203,-1.397579
4.600000,0.763220,2.837680,-0.025441,-1.445219,-0.025770,-1.408451
4.700000,0.779860,2.929810,-0.025995,-1.492140,-0.026339,-1.453351
4.800000,0.796530,2.991520,-0.026551,-1.523569,-0.026910,-1.483116
4.900000,0.813260,3.037990,-0.027109,-1.547236,-0.027483,-1.505292
5.000000,0.829890,3.135490,-0.027663,-1.596892,-0.028053,-1.552717
