EF10_0T_B_sample_5
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 1kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,-0.001570,-0.000000,0.000800,0.000000,0.000800
0.100000,0.006230,0.026110,-0.000208,-0.013298,-0.000208,-0.013295
0.200000,0.027310,0.032170,-0.000910,-0.016384,-0.000911,-0.016369
0.300000,0.045980,0.068680,-0.001533,-0.034978,-0.001534,-0.034925
0.400000,0.063090,0.086570,-0.002103,-0.044090,-0.002105,-0.043997
0.500000,0.079970,0.105040,-0.002666,-0.053496,-0.002669,-0.053354
0.600000,0.096670,0.131350,-0.003222,-0.066896,-0.003228,-0.066680
0.700000,0.113310,0.159300,-0.003777,-0.081131,-0.003784,-0.080824
0.800000,0.129970,0.184050,-0.004332,-0.093736,-0.004342,-0.093330
0.900000,0.146670,0.207190,-0.004889,-0.105521,-0.004901,-0.105005
1.000000,0.163300,0.239580,-0.005443,-0.122017,-0.005458,-0.121353
1.100000,0.180000,0.269370,-0.006000,-0.137189,-0.006018,-0.136366
1.200000,0.196600,0.300190,-0.006553,-0.152886,-0.006575,-0.151884
1.300000,0.213300,0.331860,-0.007110,-0.169015,-0.007135,-0.167813
1.400000,0.230000,0.370640,-0.007667,-0.188765,-0.007696,-0.187318
1.500000,0.246630,0.413290,-0.008221,-0.210487,-0.008255,-0.208756
1.600000,0.263250,0.458140,-0.008775,-0.233329,-0.008814,-0.231281
1.700000,0.279970,0.506070,-0.009332,-0.257739,-0.009376,-0.255334
1.800000,0.296700,0.549970,-0.009890,-0.280097,-0.009939,-0.277327
1.900000,0.313340,0.598820,-0.010445,-0.304977,-0.010500,-0.301791
2.000000,0.329960,0.654150,-0.010999,-0.333156,-0.011060,-0.329492
2.100000,0.346590,0.698700,-0.011553,-0.355845,-0.011620,-0.351734
2.200000,0.363260,0.748730,-0.012109,-0.381325,-0.012183,-0.376708
2.300000,0.379990,0.806070,-0.012666,-0.410528,-0.012747,-0.405328
