EF10_0T_A_sample_3
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 1kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,-0.001820,-0.000000,0.000927,0.000000,0.000927
0.100000,0.007280,-0.003770,-0.000243,0.001920,-0.000243,0.001920
0.200000,0.027540,0.083540,-0.000918,-0.042547,-0.000918,-0.042508
0.300000,0.046210,0.085470,-0.001540,-0.043530,-0.001542,-0.043462
0.400000,0.063260,0.139140,-0.002109,-0.070863,-0.002111,-0.070714
0.500000,0.080010,0.138640,-0.002667,-0.070609,-0.002671,-0.070420
0.600000,0.096650,0.164130,-0.003222,-0.083591,-0.003227,-0.083321
0.700000,0.113370,0.173230,-0.003779,-0.088225,-0.003786,-0.087892
0.800000,0.130030,0.204230,-0.004334,-0.104013,-0.004344,-0.103563
0.900000,0.146710,0.247640,-0.004890,-0.126122,-0.004902,-0.125505
1.000000,0.163320,0.260790,-0.005444,-0.132819,-0.005459,-0.132096
1.100000,0.179990,0.334720,-0.006000,-0.170471,-0.006018,-0.169449
1.200000,0.196690,0.314080,-0.006556,-0.159960,-0.006578,-0.158911
1.300000,0.213350,0.378090,-0.007112,-0.192560,-0.007137,-0.191190
1.400000,0.230000,0.420410,-0.007667,-0.214113,-0.007696,-0.212472
1.500000,0.246580,0.496400,-0.008219,-0.252814,-0.008253,-0.250736
1.600000,0.263250,0.556810,-0.008775,-0.283581,-0.008814,-0.281093
1.700000,0.279970,0.644270,-0.009332,-0.328124,-0.009376,-0.325062
1.800000,0.296660,0.681390,-0.009889,-0.347029,-0.009938,-0.343597
1.900000,0.313270,0.738960,-0.010442,-0.376349,-0.010497,-0.372419
2.000000,0.329980,0.851550,-0.010999,-0.433691,-0.011060,-0.428921
2.100000,0.346650,0.871130,-0.011555,-0.443663,-0.011622,-0.438536
2.200000,0.363300,0.940800,-0.012110,-0.479146,-0.012184,-0.473343
2.300000,0.379920,0.998980,-0.012664,-0.508776,-0.012745,-0.502333
