EF10_0T_A_sample_4
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 1kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,-0.003010,-0.000000,0.001533,0.000000,0.001533
0.100000,0.007300,0.016460,-0.000243,-0.008383,-0.000243,-0.008381
0.200000,0.027570,0.037530,-0.000919,-0.019114,-0.000919,-0.019096
0.300000,0.046210,0.098110,-0.001540,-0.049967,-0.001542,-0.049890
0.400000,0.063270,0.107670,-0.002109,-0.054836,-0.002111,-0.054720
0.500000,0.080020,0.153530,-0.002667,-0.078192,-0.002671,-0.077984
0.600000,0.096660,0.182070,-0.003222,-0.092727,-0.003227,-0.092429
0.700000,0.113370,0.170400,-0.003779,-0.086784,-0.003786,-0.086456
0.800000,0.130040,0.260470,-0.004335,-0.132656,-0.004344,-0.132081
0.900000,0.146700,0.261940,-0.004890,-0.133405,-0.004902,-0.132753
1.000000,0.163330,0.309400,-0.005444,-0.157576,-0.005459,-0.156718
1.100000,0.179990,0.391780,-0.006000,-0.199532,-0.006018,-0.198335
1.200000,0.196680,0.407370,-0.006556,-0.207472,-0.006578,-0.206112
1.300000,0.213340,0.413000,-0.007111,-0.210339,-0.007137,-0.208843
1.400000,0.230000,0.502300,-0.007667,-0.255819,-0.007696,-0.253858
1.500000,0.246570,0.536970,-0.008219,-0.273477,-0.008253,-0.271229
1.600000,0.263250,0.609680,-0.008775,-0.310507,-0.008814,-0.307783
1.700000,0.279970,0.674970,-0.009332,-0.343759,-0.009376,-0.340551
1.800000,0.296640,0.697820,-0.009888,-0.355397,-0.009937,-0.351883
1.900000,0.313250,0.795970,-0.010442,-0.405384,-0.010497,-0.401151
2.000000,0.329970,0.857160,-0.010999,-0.436548,-0.011060,-0.431746
2.100000,0.346640,0.896420,-0.011555,-0.456543,-0.011622,-0.451268
2.200000,0.363310,0.965770,-0.012110,-0.491863,-0.012184,-0.485906
2.300000,0.379920,1.042990,-0.012664,-0.531190,-0.012745,-0.524463
2.400000,0.396560,1.120920,-0.013219,-0.570880,-0.013307,-0.563334
2.500000,0.413200,1.181140,-0.013773,-0.601550,-0.013869,-0.593264
2.600000,0.429940,1.269370,-0.014331,-0.646485,-0.014435,-0.637220
2.700000,0.446640,1.305700,-0.014888,-0.664988,-0.015000,-0.655087
2.800000,0.463270,1.408870,-0.015442,-0.717532,-0.015563,-0.706451
2.900000,0.479890,1.404790,-0.015996,-0.715454,-0.016126,-0.704009
3.000000,0.496580,1.465850,-0.016553,-0.746551,-0.016691,-0.734194
3.100000,0.513260,1.637800,-0.017109,-0.834125,-0.017257,-0.819854
3.200000,0.529890,1.625980,-0.017663,-0.828105,-0.017821,-0.813478
3.300000,0.546540,1.705950,-0.018218,-0.868833,-0.018386,-0.853005
3.400000,0.563230,1.767620,-0.018774,-0.900241,-0.018953,-0.883340
3.500000,0.579920,1.838610,-0.019331,-0.936396,-0.019520,-0.918295
