EF30_0T_B_sample_4
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 10kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,0.019730,-0.000000,-0.010048,0.000000,-0.010048
0.100000,0.007670,0.064870,-0.000256,-0.033038,-0.000256,-0.033030
0.200000,0.027950,0.175300,-0.000932,-0.089280,-0.000932,-0.089196
0.300000,0.046320,0.323000,-0.001544,-0.164503,-0.001545,-0.164249
0.400000,0.063270,0.422500,-0.002109,-0.215177,-0.002111,-0.214724
0.500000,0.079990,0.513890,-0.002666,-0.261722,-0.002670,-0.261024
0.600000,0.096640,0.576640,-0.003221,-0.293680,-0.003227,-0.292734
0.700000,0.113310,0.708200,-0.003777,-0.360683,-0.003784,-0.359321
0.800000,0.129970,0.770310,-0.004332,-0.392316,-0.004342,-0.390616
0.900000,0.146660,0.884560,-0.004889,-0.450503,-0.004901,-0.448300
1.000000,0.163370,1.007280,-0.005446,-0.513003,-0.005461,-0.510210
1.100000,0.180040,1.098040,-0.006001,-0.559227,-0.006019,-0.555871
1.200000,0.196640,1.220160,-0.006555,-0.621422,-0.006576,-0.617349
1.300000,0.213340,1.296900,-0.007111,-0.660506,-0.007137,-0.655809
1.400000,0.230020,1.394140,-0.007667,-0.710030,-0.007697,-0.704586
1.500000,0.246670,1.498640,-0.008222,-0.763251,-0.008256,-0.756975
1.600000,0.263290,1.608290,-0.008776,-0.819095,-0.008815,-0.811907
1.700000,0.279980,1.693550,-0.009333,-0.862518,-0.009376,-0.854468
1.800000,0.296630,1.792490,-0.009888,-0.912908,-0.009937,-0.903881
1.900000,0.313300,1.915600,-0.010443,-0.975607,-0.010498,-0.965418
2.000000,0.329920,2.006640,-0.010997,-1.021973,-0.011058,-1.010734
2.100000,0.346520,2.116020,-0.011551,-1.077680,-0.011618,-1.065232
2.200000,0.363180,2.268190,-0.012106,-1.155180,-0.012180,-1.141195
2.300000,0.379910,2.354670,-0.012664,-1.199224,-0.012745,-1.184037
2.400000,0.396610,2.442420,-0.013220,-1.243914,-0.013308,-1.227469
2.500000,0.413190,2.556350,-0.013773,-1.301938,-0.013869,-1.284007
2.600000,0.429890,2.646380,-0.014330,-1.347790,-0.014433,-1.328477
2.700000,0.446610,2.769510,-0.014887,-1.410500,-0.014999,-1.389502
2.800000,0.463310,2.863720,-0.015444,-1.458481,-0.015564,-1.435956
2.900000,0.479900,2.951090,-0.015997,-1.502978,-0.016126,-1.478935
3.000000,0.496600,3.068460,-0.016553,-1.562754,-0.016692,-1.536885
3.100000,0.513290,3.166620,-0.017110,-1.612746,-0.017258,-1.585153
3.200000,0.529970,3.281870,-0.017666,-1.671443,-0.017824,-1.641916
3.300000,0.546640,3.436420,-0.018221,-1.750154,-0.018389,-1.718264
3.400000,0.563270,3.502140,-0.018776,-1.783625,-0.018954,-1.750137
3.500000,0.579950,3.601100,-0.019332,-1.834025,-0.019521,-1.798570
3.600000,0.596600,3.739890,-0.019887,-1.904710,-0.020087,-1.866832
3.700000,0.613310,3.847230,-0.020444,-1.959378,-0.020656,-1.919321
3.800000,0.629910,3.909090,-0.020997,-1.990883,-0.021221,-1.949081
3.900000,0.646560,4.023650,-0.021552,-2.049228,-0.021788,-2.005063
4.000000,0.663260,4.136300,-0.022109,-2.106600,-0.022357,-2.060026
4.100000,0.679920,4.285360,-0.022664,-2.182516,-0.022925,-2.133051
4.200000,0.696580,4.377910,-0.023219,-2.229651,-0.023493,-2.177880
4.300000,0.713180,4.483210,-0.023773,-2.283280,-0.024060,-2.229000
4.400000,0.729940,4.623210,-0.024331,-2.354582,-0.024632,-2.297291
4.500000,0.746590,4.719590,-0.024886,-2.403667,-0.025201,-2.343849
4.600000,0.763260,4.804140,-0.025442,-2.446728,-0.025771,-2.384479
4.700000,0.779930,4.928440,-0.025998,-2.510034,-0.026342,-2.444779
4.800000,0.796610,5.017720,-0.026554,-2.555504,-0.026913,-2.487646
4.900000,0.813280,5.132910,-0.027109,-2.614170,-0.027484,-2.543301
5.000000,0.829970,5.259490,-0.027666,-2.678636,-0.028056,-2.604530
5.100000,0.846600,5.358640,-0.028220,-2.729133,-0.028626,-2.652117
5.200000,0.863270,5.467200,-0.028776,-2.784422,-0.029198,-2.704298
5.300000,0.879990,5.625090,-0.029333,-2.864835,-0.029772,-2.780801
5.400000,0.896650,5.694460,-0.029888,-2.900165,-0.030344,-2.813484
5.500000,0.913270,5.798530,-0.030442,-2.953167,-0.030915,-2.863266
5.600000,0.929860,5.933010,-0.030995,-3.021657,-0.031486,-2.928000
5.700000,0.946570,6.051620,-0.031552,-3.082065,-0.032061,-2.984818
5.800000,0.963230,6.164730,-0.032108,-3.139671,-0.032634,-3.038864
5.900000,0.979910,6.256000,-0.032664,-3.186155,-0.033209,-3.082083
6.000000,0.996530,6.339500,-0.033218,-3.228681,-0.033782,-3.121432
6.100000,1.013190,6.503490,-0.033773,-3.312200,-0.034356,-3.200337
6.200000,1.029890,6.627820,-0.034330,-3.375521,-0.034933,-3.259640
6.300000,1.046600,6.727870,-0.034887,-3.426476,-0.035510,-3.306938
6.400000,1.063250,6.868300,-0.035442,-3.497996,-0.036085,-3.374022
6.500000,1.079880,6.956790,-0.035996,-3.543064,-0.036660,-3.415528
6.600000,1.096580,7.036070,-0.036553,-3.583441,-0.037237,-3.452457
6.700000,1.113280,7.171940,-0.037109,-3.652639,-0.037815,-3.517092
6.800000,1.129960,7.310130,-0.037665,-3.723019,-0.038393,-3.582790
6.900000,1.146590,7.421890,-0.038220,-3.779938,-0.038969,-3.635470
7.000000,1.163310,7.514200,-0.038777,-3.826951,-0.039549,-3.678553
7.100000,1.179970,7.659870,-0.039332,-3.901140,-0.040127,-3.747699
7.200000,1.196610,7.762180,-0.039887,-3.953246,-0.040704,-3.795563
7.300000,1.213240,7.896940,-0.040441,-4.021879,-0.041282,-3.859228
7.400000,1.229930,8.010010,-0.040998,-4.079465,-0.041862,-3.912216
7.500000,1.246600,8.076140,-0.041553,-4.113144,-0.042441,-3.942229
7.600000,1.263270,8.255560,-0.042109,-4.204522,-0.043021,-4.027474
7.700000,1.279910,8.350220,-0.042664,-4.252732,-0.043601,-4.071295
