EF10_12_5T_A_sample_4
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 1kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,-0.004700,-0.000000,0.002394,0.000000,0.002394
0.100000,0.007360,0.030860,-0.000245,-0.015717,-0.000245,-0.015713
0.200000,0.028140,0.070380,-0.000938,-0.035844,-0.000938,-0.035811
0.300000,0.046360,0.107550,-0.001545,-0.054775,-0.001547,-0.054690
0.400000,0.063240,0.142920,-0.002108,-0.072789,-0.002110,-0.072635
0.500000,0.080020,0.183030,-0.002667,-0.093216,-0.002671,-0.092968
0.600000,0.096700,0.214190,-0.003223,-0.109086,-0.003229,-0.108734
0.700000,0.113340,0.257400,-0.003778,-0.131093,-0.003785,-0.130597
0.800000,0.129970,0.299830,-0.004332,-0.152702,-0.004342,-0.152041
0.900000,0.146660,0.334570,-0.004889,-0.170395,-0.004901,-0.169562
1.000000,0.163330,0.377910,-0.005444,-0.192468,-0.005459,-0.191420
1.100000,0.180020,0.417030,-0.006001,-0.212392,-0.006019,-0.211117
1.200000,0.196620,0.451970,-0.006554,-0.230186,-0.006576,-0.228678
1.300000,0.213360,0.498750,-0.007112,-0.254011,-0.007137,-0.252205
1.400000,0.230040,0.537850,-0.007668,-0.273925,-0.007698,-0.271824
1.500000,0.246670,0.582740,-0.008222,-0.296787,-0.008256,-0.294347
1.600000,0.263250,0.628050,-0.008775,-0.319863,-0.008814,-0.317056
1.700000,0.279900,0.662550,-0.009330,-0.337434,-0.009374,-0.334286
1.800000,0.296630,0.706450,-0.009888,-0.359792,-0.009937,-0.356235
1.900000,0.313350,0.746870,-0.010445,-0.380378,-0.010500,-0.376405
2.000000,0.329980,0.787730,-0.010999,-0.401188,-0.011060,-0.396775
2.100000,0.346540,0.831560,-0.011551,-0.423510,-0.011619,-0.418618
2.200000,0.363220,0.867140,-0.012107,-0.441631,-0.012181,-0.436284
2.300000,0.379890,0.908160,-0.012663,-0.462522,-0.012744,-0.456665
2.400000,0.396610,0.950740,-0.013220,-0.484208,-0.013308,-0.477807
2.500000,0.413210,0.987930,-0.013774,-0.503149,-0.013869,-0.496218
2.600000,0.429890,1.029270,-0.014330,-0.524203,-0.014433,-0.516691
2.700000,0.446590,1.067800,-0.014886,-0.543826,-0.014998,-0.535730
2.800000,0.463240,1.114130,-0.015441,-0.567422,-0.015562,-0.558660
2.900000,0.479870,1.162120,-0.015996,-0.591863,-0.016125,-0.582396
3.000000,0.496540,1.195650,-0.016551,-0.608940,-0.016690,-0.598861
3.100000,0.513240,1.241470,-0.017108,-0.632275,-0.017256,-0.621459
3.200000,0.529940,1.282860,-0.017665,-0.653355,-0.017823,-0.641814
3.300000,0.546620,1.328850,-0.018221,-0.676778,-0.018389,-0.664446
3.400000,0.563220,1.363400,-0.018774,-0.694374,-0.018952,-0.681338
3.500000,0.579910,1.410470,-0.019330,-0.718346,-0.019520,-0.704461
3.600000,0.596600,1.453330,-0.019887,-0.740175,-0.020087,-0.725455
3.700000,0.613260,1.494860,-0.020442,-0.761326,-0.020654,-0.745763
3.800000,0.629880,1.536280,-0.020996,-0.782421,-0.021220,-0.765993
3.900000,0.646500,1.575990,-0.021550,-0.802645,-0.021786,-0.785348
4.000000,0.663260,1.616440,-0.022109,-0.823246,-0.022357,-0.805045
4.100000,0.679910,1.664150,-0.022664,-0.847545,-0.022924,-0.828336
4.200000,0.696540,1.702020,-0.023218,-0.866832,-0.023492,-0.846706
4.300000,0.713210,1.741090,-0.023774,-0.886730,-0.024061,-0.865649
4.400000,0.729890,1.782090,-0.024330,-0.907611,-0.024631,-0.885529
4.500000,0.746580,1.824910,-0.024886,-0.929419,-0.025201,-0.906290
4.600000,0.763230,1.869800,-0.025441,-0.952281,-0.025770,-0.928054
4.700000,0.779950,1.908240,-0.025998,-0.971859,-0.026342,-0.946592
4.800000,0.796600,1.953080,-0.026553,-0.994695,-0.026912,-0.968283
4.900000,0.813250,1.992350,-0.027108,-1.014696,-0.027483,-0.987189
5.000000,0.829940,2.039930,-0.027665,-1.038928,-0.028055,-1.010186
5.100000,0.846570,2.075410,-0.028219,-1.056998,-0.028625,-1.027170
5.200000,0.863220,2.115220,-0.028774,-1.077273,-0.029196,-1.046275
5.300000,0.879950,2.166030,-0.029332,-1.103150,-0.029770,-1.070793
5.400000,0.896640,2.207140,-0.029888,-1.124087,-0.030344,-1.090490
5.500000,0.913240,2.249450,-0.030441,-1.145635,-0.030914,-1.110761
5.600000,0.929880,2.295190,-0.030996,-1.168931,-0.031487,-1.132698
5.700000,0.946580,2.338160,-0.031553,-1.190815,-0.032061,-1.153242
5.800000,0.963240,2.376730,-0.032108,-1.210459,-0.032635,-1.171593
5.900000,0.979910,2.415320,-0.032664,-1.230112,-0.033209,-1.189932
6.000000,0.996540,2.463250,-0.033218,-1.254523,-0.033782,-1.212850
6.100000,1.013210,2.504220,-0.033774,-1.275389,-0.034357,-1.232314
6.200000,1.029890,2.548600,-0.034330,-1.297991,-0.034933,-1.253432
6.300000,1.046590,2.589120,-0.034886,-1.318628,-0.035509,-1.272626
6.400000,1.063210,2.634270,-0.035440,-1.341623,-0.036084,-1.294075
6.500000,1.079860,2.673770,-0.035995,-1.361740,-0.036659,-1.312724
6.600000,1.096580,2.730980,-0.036553,-1.390877,-0.037237,-1.340036
6.700000,1.113310,2.763080,-0.037110,-1.407225,-0.037816,-1.355002
6.800000,1.129980,2.804090,-0.037666,-1.428111,-0.038394,-1.374320
6.900000,1.146620,2.850060,-0.038221,-1.451524,-0.038970,-1.396045
7.000000,1.163310,2.895320,-0.038777,-1.474574,-0.039549,-1.417395
7.100000,1.180000,2.932630,-0.039333,-1.493576,-0.040128,-1.434829
7.200000,1.196600,2.985330,-0.039887,-1.520416,-0.040704,-1.459772
7.300000,1.213260,3.025550,-0.040442,-1.540900,-0.041283,-1.478583
7.400000,1.229920,3.069060,-0.040997,-1.563059,-0.041861,-1.498978
7.500000,1.246560,3.117060,-0.041552,-1.587506,-0.042440,-1.521542
7.600000,1.263260,3.154830,-0.042109,-1.606742,-0.043021,-1.539084
7.700000,1.279910,3.198590,-0.042664,-1.629029,-0.043601,-1.559528
7.800000,1.296550,3.240600,-0.043218,-1.650424,-0.044180,-1.579095
7.900000,1.313240,3.283320,-0.043775,-1.672181,-0.044762,-1.598982
8.000000,1.329980,3.320490,-0.044333,-1.691112,-0.045345,-1.616140
8.100000,1.346570,3.370650,-0.044886,-1.716658,-0.045924,-1.639605
8.200000,1.363230,3.409490,-0.045441,-1.736439,-0.046506,-1.657533
8.300000,1.379950,3.458310,-0.045998,-1.761303,-0.047090,-1.680286
8.400000,1.396630,3.491020,-0.046554,-1.777962,-0.047673,-1.695190
8.500000,1.413240,3.541690,-0.047108,-1.803768,-0.048254,-1.718796
8.600000,1.429860,3.583640,-0.047662,-1.825133,-0.048835,-1.738143
8.700000,1.446560,3.626740,-0.048219,-1.847084,-0.049420,-1.758020
8.800000,1.463200,3.671140,-0.048773,-1.869696,-0.050003,-1.778505
8.900000,1.479950,3.713850,-0.049332,-1.891448,-0.050590,-1.798140
9.000000,1.496610,3.756420,-0.049887,-1.913129,-0.051174,-1.817689
9.100000,1.513220,3.798890,-0.050441,-1.934759,-0.051757,-1.837168
9.200000,1.529900,3.840670,-0.050997,-1.956037,-0.052343,-1.856286
9.300000,1.546600,3.887130,-0.051553,-1.979699,-0.052930,-1.877639
9.400000,1.563260,3.939900,-0.052109,-2.006575,-0.053515,-1.902015
9.500000,1.579880,3.981720,-0.052663,-2.027873,-0.054100,-1.921080
9.600000,1.596560,4.016010,-0.053219,-2.045337,-0.054687,-1.936487
9.700000,1.613260,4.065140,-0.053775,-2.070359,-0.055275,-1.959025
9.800000,1.629920,4.108620,-0.054331,-2.092503,-0.055862,-1.978816
9.900000,1.646540,4.148780,-0.054885,-2.112956,-0.056448,-1.996987
10.000000,1.663260,4.198230,-0.055442,-2.138141,-0.057038,-2.019598
10.100000,1.679930,4.240520,-0.055998,-2.159679,-0.057627,-2.038742
10.200000,1.696600,4.289800,-0.056553,-2.184777,-0.058215,-2.061221
10.300000,1.713240,4.330650,-0.057108,-2.205582,-0.058804,-2.079626
