EF10_87_5T_B_sample_4
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 1kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,0.014880,-0.000000,-0.007578,0.000000,-0.007578
0.100000,0.006450,0.031600,-0.000215,-0.016094,-0.000215,-0.016090
0.200000,0.027290,0.036030,-0.000910,-0.018350,-0.000910,-0.018333
0.300000,0.045990,0.042020,-0.001533,-0.021401,-0.001534,-0.021368
0.400000,0.063080,0.051990,-0.002103,-0.026478,-0.002105,-0.026423
0.500000,0.079930,0.062580,-0.002664,-0.031872,-0.002668,-0.031787
0.600000,0.096660,0.064080,-0.003222,-0.032636,-0.003227,-0.032531
0.700000,0.113290,0.078090,-0.003776,-0.039771,-0.003783,-0.039621
0.800000,0.129970,0.088420,-0.004332,-0.045032,-0.004342,-0.044837
0.900000,0.146670,0.092060,-0.004889,-0.046886,-0.004901,-0.046657
1.000000,0.163340,0.111800,-0.005445,-0.056939,-0.005460,-0.056629
1.100000,0.179960,0.119380,-0.005999,-0.060800,-0.006017,-0.060435
1.200000,0.196590,0.129350,-0.006553,-0.065877,-0.006575,-0.065446
1.300000,0.213230,0.140270,-0.007108,-0.071439,-0.007133,-0.070931
1.400000,0.229950,0.152460,-0.007665,-0.077647,-0.007695,-0.077052
1.500000,0.246620,0.160280,-0.008221,-0.081630,-0.008255,-0.080959
1.600000,0.263260,0.168420,-0.008775,-0.085776,-0.008814,-0.085023
1.700000,0.279930,0.171270,-0.009331,-0.087227,-0.009375,-0.086413
1.800000,0.296640,0.184960,-0.009888,-0.094199,-0.009937,-0.093268
1.900000,0.313300,0.194150,-0.010443,-0.098880,-0.010498,-0.097847
2.000000,0.329940,0.205490,-0.010998,-0.104655,-0.011059,-0.103504
2.100000,0.346600,0.210190,-0.011553,-0.107049,-0.011621,-0.105812
2.200000,0.363250,0.219870,-0.012108,-0.111979,-0.012182,-0.110623
2.300000,0.379950,0.230450,-0.012665,-0.117367,-0.012746,-0.115881
2.400000,0.396600,0.239140,-0.013220,-0.121793,-0.013308,-0.120183
2.500000,0.413200,0.255200,-0.013773,-0.129972,-0.013869,-0.128182
2.600000,0.429880,0.249960,-0.014329,-0.127304,-0.014433,-0.125479
2.700000,0.446610,0.262860,-0.014887,-0.133873,-0.014999,-0.131881
2.800000,0.463290,0.269780,-0.015443,-0.137398,-0.015563,-0.135276
2.900000,0.479950,0.289520,-0.015998,-0.147451,-0.016128,-0.145092
3.000000,0.496540,0.291400,-0.016551,-0.148409,-0.016690,-0.145952
3.100000,0.513180,0.298730,-0.017106,-0.152142,-0.017254,-0.149539
3.200000,0.529930,0.316860,-0.017664,-0.161375,-0.017822,-0.158525
3.300000,0.546620,0.321450,-0.018221,-0.163713,-0.018389,-0.160730
3.400000,0.563250,0.331090,-0.018775,-0.168623,-0.018953,-0.165457
3.500000,0.579890,0.339870,-0.019330,-0.173094,-0.019519,-0.169749
3.600000,0.596590,0.345690,-0.019886,-0.176058,-0.020087,-0.172557
3.700000,0.613260,0.359640,-0.020442,-0.183163,-0.020654,-0.179419
3.800000,0.629910,0.365210,-0.020997,-0.186000,-0.021221,-0.182094
3.900000,0.646590,0.375000,-0.021553,-0.190986,-0.021789,-0.186870
4.000000,0.663250,0.392770,-0.022108,-0.200036,-0.022356,-0.195614
4.100000,0.679940,0.395180,-0.022665,-0.201264,-0.022925,-0.196702
4.200000,0.696590,0.409300,-0.023220,-0.208455,-0.023493,-0.203615
4.300000,0.713240,0.410240,-0.023775,-0.208934,-0.024062,-0.203966
4.400000,0.729910,0.424870,-0.024330,-0.216385,-0.024631,-0.211120
4.500000,0.746650,0.436860,-0.024888,-0.222491,-0.025203,-0.216954
4.600000,0.763280,0.442640,-0.025443,-0.225435,-0.025772,-0.219699
4.700000,0.779860,0.458060,-0.025995,-0.233288,-0.026339,-0.227224
4.800000,0.796580,0.463910,-0.026553,-0.236267,-0.026912,-0.229994
4.900000,0.813290,0.479560,-0.027110,-0.244238,-0.027484,-0.237617
5.000000,0.829950,0.478910,-0.027665,-0.243907,-0.028055,-0.237159
5.100000,0.846580,0.493900,-0.028219,-0.251541,-0.028625,-0.244443
5.200000,0.863250,0.495040,-0.028775,-0.252122,-0.029197,-0.244867
5.300000,0.879910,0.513380,-0.029330,-0.261462,-0.029769,-0.253794
5.400000,0.896620,0.519040,-0.029887,-0.264345,-0.030343,-0.256444
5.500000,0.913270,0.528290,-0.030442,-0.269056,-0.030915,-0.260865
5.600000,0.929880,0.541660,-0.030996,-0.275865,-0.031487,-0.267314
5.700000,0.946550,0.546060,-0.031552,-0.278106,-0.032060,-0.269331
5.800000,0.963220,0.556780,-0.032107,-0.283566,-0.032634,-0.274461
5.900000,0.979920,0.559010,-0.032664,-0.284701,-0.033209,-0.275402
6.000000,0.996530,0.575640,-0.033218,-0.293171,-0.033782,-0.283433
6.100000,1.013210,0.580540,-0.033774,-0.295667,-0.034357,-0.285681
6.200000,1.029910,0.584240,-0.034330,-0.297551,-0.034933,-0.287336
6.300000,1.046640,0.608540,-0.034888,-0.309927,-0.035511,-0.299114
6.400000,1.063210,0.611400,-0.035440,-0.311383,-0.036084,-0.300348
6.500000,1.079920,0.625930,-0.035997,-0.318784,-0.036661,-0.307308
6.600000,1.096580,0.631220,-0.036553,-0.321478,-0.037237,-0.309727
6.700000,1.113240,0.644030,-0.037108,-0.328002,-0.037814,-0.315830
6.800000,1.129940,0.644720,-0.037665,-0.328353,-0.038392,-0.315986
6.900000,1.146540,0.654910,-0.038218,-0.333543,-0.038967,-0.320796
7.000000,1.163250,0.665720,-0.038775,-0.339048,-0.039547,-0.325902
7.100000,1.179950,0.668970,-0.039332,-0.340704,-0.040126,-0.327303
7.200000,1.196620,0.687630,-0.039887,-0.350207,-0.040705,-0.336238
7.300000,1.213240,0.693100,-0.040441,-0.352993,-0.041282,-0.338717
7.400000,1.229910,0.708050,-0.040997,-0.360607,-0.041861,-0.345823
7.500000,1.246620,0.711860,-0.041554,-0.362547,-0.042442,-0.347482
7.600000,1.263310,0.718980,-0.042110,-0.366174,-0.043023,-0.350754
7.700000,1.279950,0.737730,-0.042665,-0.375723,-0.043602,-0.359693
7.800000,1.296630,0.740090,-0.043221,-0.376925,-0.044183,-0.360634
7.900000,1.313280,0.749950,-0.043776,-0.381946,-0.044763,-0.365226
