EF10_87_5T_A_sample_3
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 1kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,-0.010870,-0.000000,0.005536,0.000000,0.005536
0.100000,0.006960,0.005240,-0.000232,-0.002669,-0.000232,-0.002668
0.200000,0.027630,0.009450,-0.000921,-0.004813,-0.000921,-0.004808
0.300000,0.045980,0.021190,-0.001533,-0.010792,-0.001534,-0.010775
0.400000,0.062990,0.030000,-0.002100,-0.015279,-0.002102,-0.015247
0.500000,0.079860,0.034260,-0.002662,-0.017448,-0.002666,-0.017402
0.600000,0.096600,0.046960,-0.003220,-0.023917,-0.003225,-0.023840
0.700000,0.113220,0.060840,-0.003774,-0.030986,-0.003781,-0.030869
0.800000,0.129860,0.067480,-0.004329,-0.034367,-0.004338,-0.034219
0.900000,0.146540,0.075710,-0.004885,-0.038559,-0.004897,-0.038370
1.000000,0.163260,0.086810,-0.005442,-0.044212,-0.005457,-0.043971
1.100000,0.179870,0.097410,-0.005996,-0.049611,-0.006014,-0.049313
1.200000,0.196540,0.100970,-0.006551,-0.051424,-0.006573,-0.051087
1.300000,0.213230,0.108340,-0.007108,-0.055177,-0.007133,-0.054785
1.400000,0.229900,0.121450,-0.007663,-0.061854,-0.007693,-0.061380
1.500000,0.246590,0.131910,-0.008220,-0.067181,-0.008254,-0.066629
1.600000,0.263230,0.142170,-0.008774,-0.072407,-0.008813,-0.071771
1.700000,0.279860,0.156320,-0.009329,-0.079613,-0.009372,-0.078870
1.800000,0.296560,0.162020,-0.009885,-0.082516,-0.009935,-0.081700
1.900000,0.313260,0.164060,-0.010442,-0.083555,-0.010497,-0.082683
2.000000,0.329900,0.172650,-0.010997,-0.087930,-0.011058,-0.086963
2.100000,0.346530,0.182180,-0.011551,-0.092784,-0.011618,-0.091712
2.200000,0.363210,0.192840,-0.012107,-0.098213,-0.012181,-0.097024
2.300000,0.379910,0.201930,-0.012664,-0.102842,-0.012745,-0.101540
2.400000,0.396570,0.211640,-0.013219,-0.107787,-0.013307,-0.106363
2.500000,0.413200,0.226330,-0.013773,-0.115269,-0.013869,-0.113681
2.600000,0.429890,0.238260,-0.014330,-0.121345,-0.014433,-0.119606
2.700000,0.446570,0.246090,-0.014886,-0.125333,-0.014998,-0.123467
2.800000,0.463310,0.256740,-0.015444,-0.130757,-0.015564,-0.128737
2.900000,0.479920,0.266920,-0.015997,-0.135941,-0.016127,-0.133767
3.000000,0.496550,0.274100,-0.016552,-0.139598,-0.016690,-0.137287
3.100000,0.513230,0.278830,-0.017108,-0.142007,-0.017256,-0.139578
3.200000,0.529960,0.292440,-0.017665,-0.148938,-0.017823,-0.146307
3.300000,0.546600,0.293150,-0.018220,-0.149300,-0.018388,-0.146580
3.400000,0.563200,0.303330,-0.018773,-0.154485,-0.018952,-0.151585
3.500000,0.579910,0.316830,-0.019330,-0.161360,-0.019520,-0.158241
3.600000,0.596590,0.326500,-0.019886,-0.166285,-0.020087,-0.162978
3.700000,0.613260,0.333940,-0.020442,-0.170074,-0.020654,-0.166598
3.800000,0.629860,0.349080,-0.020995,-0.177785,-0.021219,-0.174052
3.900000,0.646570,0.353780,-0.021552,-0.180179,-0.021788,-0.176295
4.000000,0.663240,0.362880,-0.022108,-0.184813,-0.022356,-0.180727
4.100000,0.679950,0.366070,-0.022665,-0.186438,-0.022926,-0.182212
4.200000,0.696640,0.375060,-0.023221,-0.191016,-0.023495,-0.186581
4.300000,0.713260,0.398640,-0.023775,-0.203026,-0.024063,-0.198199
4.400000,0.729920,0.398400,-0.024331,-0.202903,-0.024632,-0.197967
4.500000,0.746560,0.405400,-0.024885,-0.206469,-0.025200,-0.201330
4.600000,0.763240,0.417070,-0.025441,-0.212412,-0.025771,-0.207008
4.700000,0.779840,0.424610,-0.025995,-0.216252,-0.026338,-0.210631
4.800000,0.796590,0.430530,-0.026553,-0.219267,-0.026912,-0.213445
4.900000,0.813260,0.449930,-0.027109,-0.229147,-0.027483,-0.222936
5.000000,0.829920,0.448440,-0.027664,-0.228389,-0.028054,-0.222070
5.100000,0.846520,0.467160,-0.028217,-0.237923,-0.028623,-0.231209
5.200000,0.863210,0.468550,-0.028774,-0.238631,-0.029196,-0.231764
5.300000,0.879930,0.478660,-0.029331,-0.243780,-0.029770,-0.236629
5.400000,0.896600,0.492370,-0.029887,-0.250762,-0.030342,-0.243268
5.500000,0.913260,0.501630,-0.030442,-0.255478,-0.030915,-0.247701
5.600000,0.929890,0.510840,-0.030996,-0.260169,-0.031487,-0.252104
5.700000,0.946560,0.526210,-0.031552,-0.267997,-0.032060,-0.259541
5.800000,0.963240,0.529820,-0.032108,-0.269835,-0.032635,-0.261171
5.900000,0.979960,0.539360,-0.032665,-0.274694,-0.033211,-0.265721
6.000000,0.996570,0.552840,-0.033219,-0.281559,-0.033783,-0.272206
6.100000,1.013250,0.554060,-0.033775,-0.282180,-0.034359,-0.272650
6.200000,1.029950,0.572130,-0.034332,-0.291383,-0.034935,-0.281380
6.300000,1.046700,0.576050,-0.034890,-0.293380,-0.035513,-0.283144
6.400000,1.063250,0.582450,-0.035442,-0.296639,-0.036085,-0.286126
6.500000,1.079900,0.597780,-0.035997,-0.304447,-0.036661,-0.293488
6.600000,1.096590,0.611830,-0.036553,-0.311602,-0.037238,-0.300212
6.700000,1.113210,0.611410,-0.037107,-0.311389,-0.037813,-0.299834
6.800000,1.129870,0.626300,-0.037662,-0.318972,-0.038390,-0.306959
6.900000,1.146510,0.634960,-0.038217,-0.323382,-0.038966,-0.311024
7.000000,1.163240,0.643750,-0.038775,-0.327859,-0.039546,-0.315147
7.100000,1.179910,0.656020,-0.039330,-0.334108,-0.040125,-0.320968
7.200000,1.196600,0.659810,-0.039887,-0.336038,-0.040704,-0.322635
7.300000,1.213220,0.671520,-0.040441,-0.342002,-0.041281,-0.328172
7.400000,1.229900,0.682390,-0.040997,-0.347538,-0.041861,-0.333290
7.500000,1.246650,0.690940,-0.041555,-0.351893,-0.042443,-0.337270
7.600000,1.263320,0.698920,-0.042111,-0.355957,-0.043023,-0.340967
7.700000,1.279940,0.709630,-0.042665,-0.361412,-0.043602,-0.345992
7.800000,1.296560,0.725800,-0.043219,-0.369647,-0.044180,-0.353671
7.900000,1.313250,0.731310,-0.043775,-0.372453,-0.044762,-0.356149
8.000000,1.329900,0.740280,-0.044330,-0.377022,-0.045343,-0.360308
8.100000,1.346570,0.746590,-0.044886,-0.380235,-0.045924,-0.363168
8.200000,1.363230,0.756310,-0.045441,-0.385186,-0.046506,-0.367682
8.300000,1.379910,0.760520,-0.045997,-0.387330,-0.047088,-0.369514
8.400000,1.396590,0.781760,-0.046553,-0.398147,-0.047671,-0.379612
8.500000,1.413250,0.785420,-0.047108,-0.400011,-0.048254,-0.381167
8.600000,1.429890,0.801640,-0.047663,-0.408272,-0.048836,-0.388812
8.700000,1.446500,0.803910,-0.048217,-0.409428,-0.049418,-0.389687
8.800000,1.463250,0.817630,-0.048775,-0.416416,-0.050005,-0.396105
8.900000,1.479950,0.833610,-0.049332,-0.424554,-0.050590,-0.403610
9.000000,1.496590,0.830090,-0.049886,-0.422761,-0.051174,-0.401671
9.100000,1.513220,0.842860,-0.050441,-0.429265,-0.051757,-0.407613
9.200000,1.529930,0.850550,-0.050998,-0.433182,-0.052344,-0.411090
9.300000,1.546580,0.871140,-0.051553,-0.443668,-0.052929,-0.420796
9.400000,1.563240,0.870790,-0.052108,-0.443490,-0.053515,-0.420380
9.500000,1.579910,0.884470,-0.052664,-0.450457,-0.054101,-0.426734
9.600000,1.596580,0.891670,-0.053219,-0.454124,-0.054688,-0.429956
9.700000,1.613290,0.903290,-0.053776,-0.460042,-0.055276,-0.435302
9.800000,1.629970,0.915960,-0.054332,-0.466495,-0.055864,-0.441149
9.900000,1.646570,0.924570,-0.054886,-0.470880,-0.056449,-0.445035
10.000000,1.663210,0.936150,-0.055440,-0.476777,-0.057036,-0.450345
10.100000,1.679950,0.941700,-0.055998,-0.479604,-0.057627,-0.452747
10.200000,1.696630,0.952210,-0.056554,-0.484957,-0.058217,-0.457530
10.300000,1.713270,0.963990,-0.057109,-0.490956,-0.058805,-0.462918
10.400000,1.729860,0.970000,-0.057662,-0.494017,-0.059391,-0.465531
10.500000,1.746570,0.984760,-0.058219,-0.501534,-0.059983,-0.472335
10.600000,1.763260,0.992430,-0.058775,-0.505440,-0.060573,-0.475733
10.700000,1.779920,1.002340,-0.059331,-0.510488,-0.061164,-0.480200
10.800000,1.796580,1.013660,-0.059886,-0.516253,-0.061754,-0.485336
10.900000,1.813230,1.023130,-0.060441,-0.521076,-0.062345,-0.489581
11.000000,1.829920,1.033340,-0.060997,-0.526276,-0.062937,-0.494174
11.100000,1.846610,1.047900,-0.061554,-0.533691,-0.063530,-0.500840
11.200000,1.863270,1.054870,-0.062109,-0.537241,-0.064122,-0.503873
11.300000,1.879900,1.062000,-0.062663,-0.540872,-0.064713,-0.506979
11.400000,1.896580,1.073560,-0.063219,-0.546760,-0.065306,-0.512194
11.500000,1.913280,1.084870,-0.063776,-0.552520,-0.065901,-0.517282
11.600000,1.929900,1.092060,-0.064330,-0.556182,-0.066492,-0.520402
11.700000,1.946590,1.108410,-0.064886,-0.564509,-0.067087,-0.527880
11.800000,1.963280,1.111460,-0.065443,-0.566062,-0.067682,-0.529017
11.900000,1.979970,1.121440,-0.065999,-0.571145,-0.068278,-0.533450
12.000000,1.996620,1.134950,-0.066554,-0.578025,-0.068872,-0.539555
12.100000,2.013220,1.145110,-0.067107,-0.583200,-0.069465,-0.544063
12.200000,2.029870,1.156900,-0.067662,-0.589204,-0.070060,-0.549337
12.300000,2.046580,1.161230,-0.068219,-0.591410,-0.070658,-0.551064
12.400000,2.063300,1.174430,-0.068777,-0.598132,-0.071256,-0.556995
12.500000,2.079900,1.182480,-0.069330,-0.602232,-0.071851,-0.560479
12.600000,2.096550,1.194320,-0.069885,-0.608262,-0.072447,-0.565754
12.700000,2.113220,1.202700,-0.070441,-0.612530,-0.073045,-0.569383
12.800000,2.129940,1.215390,-0.070998,-0.618993,-0.073644,-0.575046
12.900000,2.146570,1.221200,-0.071552,-0.621952,-0.074241,-0.577450
13.000000,2.163210,1.233510,-0.072107,-0.628221,-0.074839,-0.582922
13.100000,2.179880,1.243090,-0.072663,-0.633101,-0.075438,-0.587098
13.200000,2.196610,1.251280,-0.073220,-0.637272,-0.076039,-0.590610
13.300000,2.213260,1.273080,-0.073775,-0.648374,-0.076638,-0.600540
13.400000,2.229900,1.276710,-0.074330,-0.650223,-0.077237,-0.601892
13.500000,2.246620,1.281440,-0.074887,-0.652632,-0.077840,-0.603758
13.600000,2.263250,1.300720,-0.075442,-0.662451,-0.078439,-0.612475
13.700000,2.279930,1.304940,-0.075998,-0.664600,-0.079041,-0.614092
13.800000,2.296580,1.315290,-0.076553,-0.669872,-0.079642,-0.618591
13.900000,2.313240,1.319120,-0.077108,-0.671822,-0.080243,-0.620019
14.000000,2.329910,1.330450,-0.077664,-0.677593,-0.080845,-0.624968
14.100000,2.346630,1.341650,-0.078221,-0.683297,-0.081450,-0.629849
14.200000,2.363250,1.357110,-0.078775,-0.691170,-0.082051,-0.636723
14.300000,2.379930,1.355040,-0.079331,-0.690116,-0.082655,-0.635369
14.400000,2.396610,1.372030,-0.079887,-0.698769,-0.083259,-0.642947
14.500000,2.413320,1.382890,-0.080444,-0.704300,-0.083864,-0.647643
14.600000,2.429970,1.393570,-0.080999,-0.709739,-0.084468,-0.652251
14.700000,2.446580,1.406960,-0.081553,-0.716559,-0.085071,-0.658122
14.800000,2.463190,1.416760,-0.082106,-0.721550,-0.085674,-0.662306
14.900000,2.479880,1.427860,-0.082663,-0.727203,-0.086280,-0.667091
15.000000,2.496600,1.431950,-0.083220,-0.729286,-0.086888,-0.668595
15.100000,2.513210,1.440800,-0.083774,-0.733793,-0.087492,-0.672321
15.200000,2.529930,1.452860,-0.084331,-0.739936,-0.088100,-0.677536
15.300000,2.546600,1.459740,-0.084887,-0.743439,-0.088707,-0.680331
15.400000,2.563270,1.472720,-0.085442,-0.750050,-0.089315,-0.685964
15.500000,2.579980,1.480210,-0.085999,-0.753865,-0.089924,-0.689033
15.600000,2.596570,1.487850,-0.086552,-0.757756,-0.090529,-0.692170
15.700000,2.613230,1.502150,-0.087108,-0.765039,-0.091137,-0.698398
15.800000,2.629930,1.509560,-0.087664,-0.768813,-0.091747,-0.701415
15.900000,2.646610,1.521370,-0.088220,-0.774827,-0.092357,-0.706472
16.000000,2.663230,1.526820,-0.088774,-0.777603,-0.092965,-0.708572
16.100000,2.679910,1.538580,-0.089330,-0.783592,-0.093575,-0.713594
16.200000,2.696540,1.545510,-0.089885,-0.787122,-0.094184,-0.716372
16.300000,2.713220,1.551880,-0.090441,-0.790366,-0.094795,-0.718885
16.400000,2.729910,1.569060,-0.090997,-0.799116,-0.095407,-0.726399
16.500000,2.746550,1.574270,-0.091552,-0.801769,-0.096017,-0.728366
16.600000,2.763210,1.581630,-0.092107,-0.805518,-0.096629,-0.731324
16.700000,2.779930,1.591440,-0.092664,-0.810514,-0.097243,-0.735408
16.800000,2.796610,1.599580,-0.093220,-0.814659,-0.097856,-0.738717
16.900000,2.813190,1.615940,-0.093773,-0.822991,-0.098465,-0.745817
