EF10_87_5T_B_sample_1
Compression test;
Cylinder Diameter: 50mm;
Cylinder Height: 30mm;
Speed (mm/min): 10;
Machine: INSTRON 5900;
Load cell: 1kN;
Time (s),Compression (mm),Load (N),Engineering Strain [-],Engineering Stress (kPa),True Strain [-],True Stress (kPa)
0.000000,0.000000,-0.041280,-0.000000,0.021024,0.000000,0.021024
0.100000,0.006660,-0.021430,-0.000222,0.010914,-0.000222,0.010912
0.200000,0.027460,-0.020820,-0.000915,0.010604,-0.000916,0.010594
0.300000,0.045990,-0.015430,-0.001533,0.007858,-0.001534,0.007846
0.400000,0.063050,-0.005610,-0.002102,0.002857,-0.002104,0.002851
0.500000,0.079900,0.003130,-0.002663,-0.001594,-0.002667,-0.001590
0.600000,0.096600,0.011770,-0.003220,-0.005994,-0.003225,-0.005975
0.700000,0.113230,0.020230,-0.003774,-0.010303,-0.003781,-0.010264
0.800000,0.129900,0.031050,-0.004330,-0.015814,-0.004339,-0.015745
0.900000,0.146570,0.036410,-0.004886,-0.018543,-0.004898,-0.018453
1.000000,0.163270,0.056720,-0.005442,-0.028887,-0.005457,-0.028730
1.100000,0.179960,0.060640,-0.005999,-0.030884,-0.006017,-0.030698
1.200000,0.196580,0.076350,-0.006553,-0.038885,-0.006574,-0.038630
1.300000,0.213220,0.084690,-0.007107,-0.043132,-0.007133,-0.042826
1.400000,0.229920,0.086380,-0.007664,-0.043993,-0.007694,-0.043656
1.500000,0.246600,0.106410,-0.008220,-0.054194,-0.008254,-0.053749
1.600000,0.263230,0.101620,-0.008774,-0.051755,-0.008813,-0.051301
1.700000,0.279900,0.114100,-0.009330,-0.058111,-0.009374,-0.057568
1.800000,0.296600,0.120760,-0.009887,-0.061503,-0.009936,-0.060895
1.900000,0.313260,0.128640,-0.010442,-0.065516,-0.010497,-0.064832
2.000000,0.329910,0.143020,-0.010997,-0.072839,-0.011058,-0.072038
2.100000,0.346580,0.148800,-0.011553,-0.075783,-0.011620,-0.074908
2.200000,0.363250,0.162460,-0.012108,-0.082740,-0.012182,-0.081738
2.300000,0.379950,0.167990,-0.012665,-0.085557,-0.012746,-0.084473
2.400000,0.396590,0.182700,-0.013220,-0.093048,-0.013308,-0.091818
2.500000,0.413210,0.185880,-0.013774,-0.094668,-0.013869,-0.093364
2.600000,0.429870,0.203550,-0.014329,-0.103667,-0.014433,-0.102182
2.700000,0.446610,0.210510,-0.014887,-0.107212,-0.014999,-0.105616
2.800000,0.463290,0.217440,-0.015443,-0.110741,-0.015563,-0.109031
2.900000,0.479930,0.222730,-0.015998,-0.113435,-0.016127,-0.111621
3.000000,0.496530,0.236280,-0.016551,-0.120336,-0.016689,-0.118345
3.100000,0.513190,0.240420,-0.017106,-0.122445,-0.017254,-0.120350
3.200000,0.529930,0.246330,-0.017664,-0.125455,-0.017822,-0.123239
3.300000,0.546610,0.259030,-0.018220,-0.131923,-0.018388,-0.129519
3.400000,0.563230,0.267740,-0.018774,-0.136359,-0.018953,-0.133799
3.500000,0.579870,0.277930,-0.019329,-0.141549,-0.019518,-0.138813
